date,value
2019-03-29,689.0
2019-04-01,685.0
2019-04-02,674.0
2019-04-03,672.0
2019-04-04,699.0
2019-04-05,711.0
2019-04-08,714.0
2019-04-09,725.0
2019-04-10,734.0
2006-08-29,3750.0
2006-08-30,3795.0
2006-08-31,3847.0
2006-09-01,3875.0
2006-09-04,3882.0
2006-09-05,3882.0
2006-09-06,3877.0
2006-09-07,3888.0
2006-09-08,3914.0
2006-09-11,3948.0
2006-09-12,4010.0
2006-09-13,4129.0
2006-09-14,4207.0
2006-09-15,4258.0
2006-09-18,4279.0
2006-09-19,4275.0
2006-09-20,4244.0
2006-09-21,4200.0
2006-09-22,4136.0
2006-09-25,4069.0
2006-09-26,3979.0
2006-09-27,3915.0
2006-09-28,3911.0
2006-09-29,3944.0
2006-10-02,3956.0
2006-10-03,3960.0
2006-10-04,3941.0
2006-10-05,3931.0
2006-10-06,3964.0
2006-10-09,4015.0
2006-10-10,4042.0
2006-10-11,4070.0
2006-10-12,4126.0
2006-10-13,4169.0
2006-10-16,4182.0
2006-10-17,4159.0
2006-10-18,4109.0
2006-10-19,4053.0
2006-10-20,4017.0
2006-10-23,3996.0
2006-10-24,3978.0
2006-10-25,3960.0
2006-10-26,3955.0
2006-10-27,3982.0
2006-10-30,4006.0
2006-10-31,4037.0
2006-11-01,4100.0
2006-11-02,4146.0
2006-11-03,4188.0
2006-11-06,4214.0
2006-11-07,4242.0
2006-11-08,4256.0
2006-11-09,4245.0
2006-11-10,4210.0
2006-11-13,4180.0
2006-11-14,4153.0
2006-11-15,4134.0
2006-11-16,4121.0
2006-11-17,4129.0
2006-11-20,4137.0
2006-11-21,4138.0
2006-11-22,4144.0
2006-11-23,4163.0
2006-11-24,4185.0
2006-11-27,4208.0
2006-11-28,4255.0
2006-11-29,4298.0
2006-11-30,4336.0
2006-12-01,4369.0
2006-12-04,4400.0
2006-12-05,4407.0
2006-12-06,4367.0
2006-12-07,4323.0
2006-12-08,4294.0
2006-12-11,4275.0
2006-12-12,4270.0
2006-12-13,4294.0
2006-12-14,4307.0
2006-12-15,4318.0
2006-12-18,4324.0
2006-12-19,4330.0
2006-12-20,4336.0
2006-12-21,4362.0
2006-12-22,4397.0
2007-01-02,4421.0
2007-01-03,4452.0
2007-01-04,4494.0
2007-01-05,4539.0
2007-01-08,4579.0
2007-01-09,4617.0
2007-01-10,4640.0
2007-01-11,4647.0
2007-01-12,4642.0
2007-01-15,4629.0
2007-01-16,4555.0
2007-01-17,4481.0
2007-01-18,4411.0
2007-01-19,4362.0
2007-01-22,4340.0
2007-01-23,4360.0
2007-01-24,4381.0
2007-01-25,4385.0
2007-01-26,4367.0
2007-01-29,4343.0
2007-01-30,4287.0
2007-01-31,4225.0
2007-02-01,4219.0
2007-02-02,4243.0
2007-02-05,4265.0
2007-02-06,4291.0
2007-02-07,4313.0
2007-02-08,4323.0
2007-02-09,4328.0
2007-02-12,4348.0
2007-02-13,4360.0
