date,value
2019-03-29,2.3475
2019-04-01,2.3675
2019-04-02,2.3725
2019-04-03,2.3825
2019-04-04,2.38
2019-04-05,2.38
2019-04-08,2.3675
2019-04-09,2.37
2019-04-10,2.37
2019-01-15,2.4483
2019-04-12,2.4321
2019-04-11,2.4249
2019-03-28,2.4275
2019-03-27,2.4277
2019-03-26,2.4612
2019-03-25,2.4474
2019-03-22,2.4527
2019-03-21,2.466
2019-03-20,2.4661
2019-03-19,2.4637
2019-03-18,2.4422
2019-03-15,2.4424
2019-03-14,2.4455
2019-03-13,2.4456
2019-03-12,2.4535
2019-03-11,2.4371
2019-03-08,2.4475
2019-03-07,2.4532
2019-03-06,2.4584
2019-03-05,2.4586
2019-03-04,2.432
2019-03-01,2.4373
2019-02-28,2.4403
2019-02-27,2.4431
2019-02-26,2.4586
2019-02-25,2.4499
2019-02-22,2.4501
2019-02-21,2.448
2019-02-20,2.4456
2019-02-19,2.4267
2019-02-15,2.4269
2019-02-14,2.4275
2019-02-13,2.4328
2019-02-12,2.4355
2019-02-11,2.432
2019-02-08,2.4219
2019-02-07,2.407
2019-02-06,2.4174
2019-02-05,2.4176
2019-02-04,2.3858
2019-02-01,2.3962
2019-01-31,2.3967
2019-01-30,2.4225
2019-01-29,2.4227
2019-01-28,2.391
2019-01-25,2.3834
2019-01-24,2.3685
2019-01-23,2.4046
2019-01-22,2.4011
2019-01-18,2.4012
2019-01-17,2.407
2019-01-16,2.4148
2019-01-14,2.4192
2019-01-11,2.4219
2019-01-10,2.4326
2019-01-09,2.4431
2019-01-08,2.4586
2019-01-07,2.4089
2019-01-04,2.4142
2019-01-03,2.407
2019-01-02,2.4277
2018-12-31,2.3754
2018-12-28,2.386
2018-12-27,2.4095
2018-12-26,2.4302
2018-12-24,2.3882
2018-12-21,2.386
2018-12-20,2.3865
2018-12-19,2.4071
2018-12-18,2.3868
2018-12-17,2.391
2018-12-14,2.4168
2018-12-13,2.4172
2018-12-12,2.4277
2018-12-11,2.4304
2018-12-10,2.3807
2018-12-07,2.3962
2018-12-06,2.4095
2018-12-04,2.4227
2018-12-03,2.3423
2018-11-30,2.3578
2018-11-29,2.3608
2018-11-28,2.3866
2018-11-27,2.4022
2018-11-26,2.4012
2018-11-23,2.4065
2018-11-21,2.4018
2018-11-20,2.3945
2018-11-19,2.3551
2018-11-16,2.3501
2018-11-15,2.3659
2018-11-14,2.3815
2018-11-13,2.3447
2018-11-09,2.3551
2018-11-08,2.3583
2018-11-07,2.3558
2018-11-06,2.3637
2018-11-05,2.3192
2018-11-02,2.3245
2018-11-01,2.3249
2018-10-31,2.3405
2018-10-30,2.338
2018-10-29,2.3115
2018-10-26,2.327
2018-10-25,2.3326
2018-10-24,2.3405
2018-10-23,2.3406
2018-10-22,2.309
2018-10-19,2.3091
2018-10-18,2.3095
2018-10-17,2.3097
2018-10-16,2.3098
2018-10-15,2.2808
2018-10-12,2.2707
2018-10-11,2.266
2018-10-10,2.2712
2018-10-09,2.2422
2018-10-05,2.2167
2018-10-04,2.2224
2018-10-03,2.2225
2018-10-02,2.2227
2018-10-01,2.2039
2018-09-28,2.2066
2018-09-27,2.1916
2018-09-26,2.202
2018-09-25,2.215
2018-09-24,2.1732
2018-09-21,2.1733
2018-09-20,2.1686
2018-09-19,2.1662
2018-09-18,2.174
2018-09-17,2.1578
2018-09-14,2.1528
2018-09-13,2.143
2018-09-12,2.1508
2018-09-11,2.1509
2018-09-10,2.1322
2018-09-07,2.14
2018-09-06,2.1302
2018-09-05,2.1354
2018-09-04,2.1167
2018-08-31,2.1015
2018-08-30,2.102
2018-08-29,2.1252
2018-08-28,2.1253
2018-08-27,2.1067
2018-08-24,2.0992
2018-08-23,2.0842
2018-08-22,2.0817
2018-08-21,2.0793
2018-08-20,2.0401
2018-08-17,2.0427
2018-08-16,2.0533
2018-08-15,2.0688
2018-08-14,2.0766
2018-08-13,2.0426
2018-08-10,2.0504
2018-08-09,2.0482
2018-08-08,2.0534
2018-08-07,2.0587
2018-08-06,2.017
2018-08-03,2.0069
2018-08-02,2.0072
2018-08-01,2.0253
2018-07-31,2.028
2018-07-30,1.9915
2018-07-27,1.9916
2018-07-26,1.9919
2018-07-25,1.9997
2018-07-24,2.01
2018-07-23,1.9633
2018-07-20,1.9788
2018-07-19,1.9919
2018-07-18,2.0048
2018-07-17,2.0177
2018-07-16,1.9863
2018-07-13,1.9762
2018-07-12,1.9714
2018-07-11,1.9613
2018-07-10,1.9767
2018-07-09,1.9608
2018-07-06,1.9506
2018-07-05,1.9535
2018-07-03,1.9741
2018-07-02,1.9352
2018-06-29,1.9225
2018-06-28,1.9202
2018-06-27,1.9254
2018-06-26,1.9332
2018-06-25,1.8968
2018-06-22,1.9174
2018-06-21,1.933
2018-06-20,1.9331
2018-06-19,1.9409
2018-06-18,1.9275
2018-06-15,1.9302
2018-06-14,1.9305
2018-06-13,1.9357
2018-06-12,1.9332
2018-06-11,1.9096
2018-06-08,1.9174
2018-06-07,1.9305
2018-06-06,1.9408
2018-06-05,1.9486
2018-06-04,1.9122
2018-06-01,1.9123
2018-05-31,1.9049
2018-05-30,1.9229
2018-05-29,1.889
2018-05-25,1.8968
2018-05-24,1.8998
2018-05-23,1.9127
2018-05-22,1.9383
2018-05-21,1.907
2018-05-18,1.8969
2018-05-17,1.9074
2018-05-16,1.9101
2018-05-15,1.9102
2018-05-14,1.8994
2018-05-11,1.9046
2018-05-10,1.8921
2018-05-09,1.8896
2018-05-08,1.8744
2018-05-07,1.8354
2018-05-04,1.8355
2018-05-03,1.8358
2018-05-02,1.8282
2018-05-01,1.8539
2018-04-30,1.8073
2018-04-27,1.8125
2018-04-26,1.8179
2018-04-25,1.8512
2018-04-24,1.8667
2018-04-23,1.8252
2018-04-20,1.8074
2018-04-19,1.8205
2018-04-18,1.818
2018-04-17,1.7925
2018-04-16,1.7485
2018-04-13,1.7563
2018-04-12,1.7489
2018-04-11,1.7285
2018-04-10,1.7337
2018-04-09,1.7153
2018-04-06,1.7154
2018-04-05,1.7131
2018-04-04,1.7029
2018-04-03,1.7541
2018-04-02,1.723
2018-03-29,1.7128
2018-03-28,1.7387
2018-03-27,1.772
2018-03-26,1.7511
2018-03-23,1.7256
2018-03-22,1.7182
2018-03-21,1.7464
2018-03-20,1.8002
2018-03-19,1.7664
2018-03-16,1.7767
2018-03-15,1.7719
2018-03-14,1.7566
2018-03-13,1.726
2018-03-12,1.6846
2018-03-09,1.6719
2018-03-08,1.662
2018-03-07,1.6825
2018-03-06,1.6826
2018-03-05,1.6668
2018-03-02,1.649
2018-03-01,1.6236
2018-02-28,1.6595
2018-02-27,1.6749
2018-02-26,1.6463
2018-02-23,1.6464
2018-02-22,1.6441
2018-02-21,1.6493
2018-02-20,1.6028
2018-02-16,1.6004
2018-02-15,1.5981
2018-02-14,1.5854
2018-02-13,1.5957
2018-02-12,1.5748
2018-02-09,1.5621
2018-02-08,1.5495
2018-02-07,1.5496
2018-02-06,1.5318
2018-02-05,1.488
2018-02-02,1.4855
2018-02-01,1.4883
2018-01-31,1.4628
2018-01-30,1.4628
2018-01-29,1.4089
2018-01-26,1.4217
2018-01-25,1.4244
2018-01-24,1.4373
2018-01-23,1.4475
2018-01-22,1.4242
2018-01-19,1.4345
2018-01-18,1.4346
2018-01-17,1.4475
2018-01-16,1.4267
2018-01-12,1.4472
2018-01-11,1.4346
2018-01-10,1.4245
2018-01-09,1.4501
2018-01-08,1.414
2018-01-05,1.4038
2018-01-04,1.404
2018-01-03,1.4015
2018-01-02,1.3986
2017-12-29,1.391
2017-12-28,1.3861
2017-12-27,1.45
2017-12-26,1.3451
2017-12-22,1.3349
2017-12-21,1.3504
2017-12-20,1.3836
2017-12-19,1.3862
2017-12-18,1.3477
2017-12-15,1.3222
2017-12-14,1.3121
2017-12-13,1.3045
2017-12-12,1.3429
2017-12-11,1.2941
2017-12-08,1.2814
2017-12-07,1.2892
2017-12-06,1.2943
2017-12-05,1.3122
2017-12-04,1.2763
2017-12-01,1.2661
2017-11-30,1.2637
2017-11-29,1.2994
2017-11-28,1.2969
2017-11-27,1.2508
2017-11-24,1.2712
2017-11-22,1.2917
2017-11-21,1.3097
2017-11-20,1.2661
2017-11-17,1.2712
2017-11-16,1.2637
2017-11-15,1.2459
2017-11-14,1.2689
2017-11-13,1.2151
2017-11-10,1.2304
2017-11-09,1.2356
2017-11-08,1.2331
2017-11-07,1.2204
2017-11-06,1.187
2017-11-03,1.182
2017-11-02,1.1693
2017-11-01,1.1668
2017-10-31,1.1541
2017-10-30,1.1029
2017-10-27,1.103
2017-10-26,1.1031
2017-10-25,1.1082
2017-10-24,1.1261
2017-10-23,1.0978
2017-10-20,1.1081
2017-10-19,1.0954
2017-10-18,1.0954
2017-10-17,1.1006
2017-10-16,1.0724
2017-10-13,1.0724
2017-10-12,1.0801
2017-10-11,1.098
2017-10-10,1.0825
2017-10-06,1.0724
2017-10-05,1.0699
2017-10-04,1.07
