date,value
2019-06-25,2225.0
2019-06-26,2225.0
2019-06-27,1820.0
2019-06-28,1820.0
2019-07-01,1793.5
2019-07-02,1778.5
2014-05-02,177900000.0
2014-05-05,218275.0
2014-05-06,2172.75
2014-05-07,2149.0
2014-05-08,2141.75
2014-05-09,2107.25
2014-05-12,2088.25
2014-05-13,2085.25
2014-05-14,2110.0
2014-05-15,2115.5
2014-05-16,2106.25
2014-05-19,2113.75
2014-05-20,2106.75
2014-05-21,2106.75
2014-05-22,2136.0
2014-05-23,2150.0
2014-05-27,2159.25
2014-05-28,2174.25
2014-05-29,2179.25
2014-05-30,2177.25
2014-06-02,2186.0
2014-06-03,2198.0
2014-06-04,2189.75
2014-06-05,2201.0
2014-06-06,2222.25
2014-06-09,2257.0
2014-06-10,2250.75
2014-06-11,2222.25
2014-06-12,2183.0
2014-06-13,2190.25
2014-06-16,2206.75
2014-06-17,2195.75
2014-06-18,2211.0
2014-06-19,2225.75
2014-06-20,2221.5
2014-06-23,2231.25
2014-06-24,2247.5
2014-06-25,2245.75
2014-06-26,2241.75
2014-06-27,2233.25
2014-06-30,2242.25
2014-07-01,2234.25
2014-07-02,2268.5
2014-07-03,2281.25
2014-07-07,2264.5
2014-07-08,2277.75
2014-07-09,2275.5
2014-07-10,2269.75
2014-07-11,2287.25
2014-07-14,2288.5
2014-07-15,2290.75
2014-07-16,2308.5
2014-07-17,2322.5
2014-07-18,2323.25
2014-07-21,2361.0
2014-07-22,2381.5
2014-07-23,2357.0
2014-07-24,2389.5
2014-07-25,2368.25
2014-07-28,2375.0
2014-07-29,2339.0
2014-07-30,2373.0
2014-07-31,2351.0
2014-08-01,2335.0
2014-08-04,2375.0
2014-08-05,2359.0
2014-08-06,2375.0
2014-08-07,2373.0
2014-08-08,2373.0
2014-08-11,2385.5
2014-08-12,2385.5
2014-08-13,2361.0
2014-08-14,2325.25
2014-08-15,2321.5
2014-08-18,2340.0
2014-08-19,2400.25
2014-08-20,2400.25
2014-08-21,2386.25
2014-08-22,2401.25
2014-08-25,2401.25
