date,value
2019-04-23,1850.5
2019-04-24,1857.0
2019-04-25,1843.0
2019-04-26,1823.0
2019-04-29,1813.75
2019-04-30,1783.0
2019-05-01,1807.0
2019-05-02,1796.5
2019-05-03,1769.5
2019-05-07,1786.0
2019-05-08,1765.5
2019-05-09,1767.75
2019-05-13,1777.5
2019-05-14,1813.5
2019-05-15,1824.5
2019-05-16,1830.75
2019-05-17,1807.0
2019-05-20,1765.5
2019-05-21,1762.25
2019-05-22,1745.0
2019-05-23,1765.75
2019-05-24,1771.0
2019-05-28,1778.0
2019-05-29,1766.25
2019-05-30,1757.5
2019-05-31,1773.0
2019-06-03,1753.75
2019-06-04,1760.75
2019-06-05,1743.0
2019-06-06,1745.75
2019-06-07,1732.75
2019-06-10,1744.75
2019-06-11,1748.25
2019-06-12,1759.5
2019-06-13,1756.0
2019-06-14,1732.75
2019-06-17,1728.25
2019-06-18,1751.75
2019-06-19,1757.25
2019-06-20,1756.5
2019-06-21,1742.5
2019-06-24,1768.75
2019-06-25,1791.25
2019-06-26,1795.25
2019-06-27,1770.5
2019-06-28,1779.75
2019-07-01,1770.5
2019-07-02,1756.25
2019-07-03,1764.75
2019-07-04,1784.25
2019-07-05,1784.0
2019-03-29,1893.0
2019-04-01,1876.0
2019-04-02,1862.5
2019-04-03,1871.5
2019-04-04,1872.0
2019-04-05,1864.25
2019-04-08,1844.5
2019-04-09,1851.25
2019-04-10,1838.75
2006-08-29,2428.0
2006-08-30,2440.75
2006-08-31,2461.75
2006-09-01,2447.75
2006-09-04,2444.75
2006-09-05,2526.0
2006-09-06,2586.25
2006-09-07,2622.5
2006-09-08,2589.5
2006-09-11,2446.0
2006-09-12,2412.25
2006-09-13,2431.25
2006-09-14,2415.0
2006-09-15,2379.25
2006-09-18,2417.0
2006-09-19,2406.5
2006-09-20,2424.5
2006-09-21,2512.5
2006-09-22,2508.25
2006-09-25,2479.5
2006-09-26,2499.25
2006-09-27,2497.0
2006-09-28,2574.5
2006-09-29,2552.5
2006-10-02,2531.0
2006-10-03,2532.75
2006-10-04,2441.0
2006-10-05,2513.25
2006-10-06,2561.0
2006-10-09,2599.5
2006-10-10,2568.5
2006-10-11,2600.75
2006-10-12,2585.5
2006-10-13,2627.75
2006-10-16,2680.0
2006-10-17,2667.0
2006-10-18,2705.75
