date,value
2019-06-25,998600.0
2019-06-26,1003750.0
2019-06-27,996725.0
2019-06-28,989125.0
2019-07-01,984450.0
2019-07-02,977750.0
2019-07-03,971500.0
2019-07-04,964400.0
2019-07-05,956575.0
2019-03-29,1122825.0
2019-04-01,1115000.0
2019-04-02,1108825.0
2019-04-03,1110275.0
2019-04-04,1104525.0
2019-04-05,1098925.0
2019-04-08,1094600.0
2019-04-09,1090625.0
2019-04-10,1086075.0
2006-08-29,718300.0
2006-08-30,714975.0
2006-08-31,718325.0
2006-09-01,716175.0
2006-09-04,716175.0
2006-09-05,714800.0
2006-09-06,713200.0
2006-09-07,710300.0
2006-09-08,710300.0
2006-09-11,709225.0
2006-09-12,713450.0
2006-09-13,711625.0
2006-09-14,708975.0
2006-09-15,704675.0
2006-09-18,702425.0
2006-09-19,702450.0
2006-09-20,701575.0
2006-09-21,698900.0
2006-09-22,693050.0
2006-09-25,695350.0
2006-09-26,692175.0
2006-09-27,689100.0
2006-09-28,686475.0
2006-09-29,690700.0
2006-10-02,693200.0
2006-10-03,693200.0
2006-10-04,692250.0
2006-10-05,690025.0
2006-10-06,688525.0
2006-10-09,687325.0
2006-10-10,685150.0
2006-10-11,683850.0
2006-10-12,680875.0
2006-10-13,686175.0
2006-10-16,688850.0
2006-10-17,688850.0
2006-10-18,691400.0
2006-10-19,691175.0
2006-10-20,689750.0
2006-10-23,687950.0
2006-10-24,687950.0
2006-10-25,685550.0
2006-10-26,683625.0
2006-10-27,681425.0
2006-10-30,680200.0
2006-10-31,678900.0
2006-11-01,681050.0
2006-11-02,679525.0
2006-11-03,680875.0
2006-11-06,680900.0
2006-11-07,679200.0
2006-11-08,679050.0
2006-11-09,677475.0
2006-11-10,677425.0
2006-11-13,676500.0
2006-11-14,676500.0
2006-11-15,681925.0
2006-11-16,681925.0
2006-11-17,676900.0
2006-11-20,683650.0
2006-11-21,683650.0
2006-11-22,684225.0
2006-11-23,683325.0
2006-11-24,683325.0
2006-11-27,683925.0
2006-11-28,682700.0
2006-11-29,680075.0
2006-11-30,680075.0
2006-12-01,678650.0
2006-12-04,678050.0
2006-12-05,677725.0
2006-12-06,679850.0
2006-12-07,679850.0
2006-12-08,674900.0
2006-12-11,674700.0
2006-12-12,672050.0
2006-12-13,667250.0
2006-12-14,661550.0
2006-12-15,664650.0
2006-12-18,666325.0
2006-12-19,683850.0
2006-12-20,685450.0
2006-12-21,695550.0
2006-12-22,701475.0
2006-12-27,701475.0
2006-12-28,699325.0
2006-12-29,699325.0
2007-01-02,698425.0
2007-01-03,696750.0
2007-01-04,696750.0
2007-01-05,696575.0
2007-01-08,698075.0
2007-01-09,698075.0
2007-01-10,696975.0
2007-01-11,694475.0
2007-01-12,691350.0
2007-01-15,701400.0
2007-01-16,701400.0
2007-01-17,714025.0
2007-01-18,723050.0
2007-01-19,722250.0
2007-01-22,723075.0
2007-01-23,720125.0
2007-01-24,720125.0
2007-01-25,728075.0
2007-01-26,728050.0
2007-01-29,729450.0
2007-01-30,733375.0
2007-01-31,736875.0
2007-02-01,746850.0
2007-02-02,748875.0
2007-02-05,748875.0
2007-02-06,752550.0
2007-02-07,752550.0
2007-02-08,755825.0
2007-02-09,757275.0
2007-02-12,756125.0
2007-02-13,756125.0
2007-02-14,759050.0
2007-02-15,762775.0
2007-02-16,761825.0
2007-02-19,764975.0
2007-02-20,773225.0
2007-02-21,779675.0
2007-02-22,783875.0
2007-02-23,784075.0
2007-02-26,796800.0
2007-02-27,796800.0
2007-02-28,802750.0
2007-03-01,803300.0
2007-03-02,807400.0
2007-03-05,803350.0
2007-03-06,803350.0
2007-03-07,802900.0
2007-03-08,800900.0
2007-03-09,800000.0
2007-03-12,798275.0
2007-03-13,798275.0
2007-03-14,797925.0
2007-03-15,798000.0
2007-03-16,797725.0
2007-03-19,798225.0
2007-03-20,798225.0
2007-03-21,802025.0
2007-03-22,805950.0
2007-03-23,812150.0
2007-03-26,811775.0
2007-03-27,810875.0
2007-03-28,812275.0
2007-03-29,812275.0
2007-03-30,811200.0
2007-04-02,810325.0
2007-04-03,809300.0
2007-04-04,809300.0
2007-04-05,809500.0
2007-04-10,809800.0
2007-04-11,807750.0
2007-04-12,805325.0
2007-04-13,804375.0
2007-04-16,804375.0
2007-04-17,809700.0
2007-04-18,810475.0
2007-04-19,821650.0
2007-04-20,822150.0
2007-04-23,822150.0
2007-04-24,822825.0
2007-04-25,828150.0
2007-04-26,829525.0
2007-04-27,828100.0
2007-04-30,826725.0
2007-05-01,826525.0
2007-05-02,826425.0
2007-05-03,833925.0
2007-05-04,835600.0
2007-05-08,837250.0
2007-05-09,835075.0
2007-05-10,835075.0
2007-05-11,836175.0
2007-05-14,834825.0
2007-05-15,834825.0
2007-05-16,835850.0
2007-05-17,836050.0
2007-05-18,836425.0
2007-05-21,836425.0
2007-05-22,833825.0
2007-05-23,832875.0
2007-05-24,832475.0
2007-05-25,831125.0
2007-05-29,831125.0
2007-05-30,830525.0
2007-05-31,832575.0
2007-06-01,831900.0
2007-06-04,831900.0
2007-06-05,831300.0
2007-06-06,830075.0
2007-06-07,830075.0
2007-06-08,828600.0
2007-06-11,828600.0
2007-06-12,830800.0
2007-06-13,830850.0
2007-06-14,830850.0
2007-06-15,828750.0
2007-06-18,824725.0
2007-06-19,827050.0
2007-06-20,827050.0
2007-06-21,827850.0
2007-06-22,827450.0
2007-06-25,827450.0
2007-06-26,827175.0
2007-06-27,827175.0
2007-06-28,824900.0
2007-06-29,824900.0
2007-07-02,823625.0
2007-07-03,823100.0
2007-07-04,823950.0
2007-07-05,824700.0
2007-07-06,824700.0
2007-07-09,827800.0
2007-07-10,829750.0
2007-07-11,829750.0
2007-07-12,831550.0
2007-07-13,837925.0
2007-07-16,836850.0
2007-07-17,837075.0
2007-07-18,836000.0
2007-07-19,834775.0
2007-07-20,832650.0
2007-07-23,835850.0
2007-07-24,835525.0
2007-07-25,836375.0
2007-07-26,835275.0
2007-07-27,837150.0
2007-07-30,838800.0
2007-07-31,839200.0
2007-08-01,839000.0
2007-08-02,837925.0
2007-08-03,837025.0
2007-08-06,836350.0
2007-08-07,834650.0
2007-08-08,834725.0
2007-08-09,833325.0
2007-08-10,833800.0
2007-08-13,833275.0
2007-08-14,832925.0
2007-08-15,831925.0
2007-08-16,831325.0
2007-08-17,829725.0
2007-08-20,828625.0
2007-08-21,832475.0
2007-08-22,831650.0
2007-08-23,831825.0
2007-08-24,830800.0
2007-08-28,828200.0
2007-08-29,827925.0
2007-08-30,826725.0
2007-08-31,839625.0
2007-09-03,839625.0
2007-09-04,846825.0
2007-09-05,858925.0
2007-09-06,866925.0
2007-09-07,878625.0
2007-09-10,884650.0
2007-09-11,890650.0
2007-09-12,894625.0
2007-09-13,901150.0
2007-09-14,907300.0
2007-09-17,912600.0
2007-09-18,916950.0
2007-09-19,920100.0
2007-09-20,923400.0
2007-09-21,929525.0
2007-09-24,934225.0
2007-09-25,941825.0
2007-09-26,940725.0
2007-09-27,938625.0
2007-09-28,937400.0
2007-10-01,936875.0
2007-10-02,937425.0
2007-10-03,937725.0
2007-10-04,937775.0
2007-10-05,937850.0
2007-10-08,936750.0
2007-10-09,936250.0
2007-10-10,934275.0
2007-10-11,935900.0
2007-10-12,936200.0
2007-10-15,935550.0
2007-10-16,936375.0
2007-10-17,934425.0
2007-10-18,932650.0
2007-10-19,929475.0
2007-10-22,925750.0
2007-10-23,924875.0
2007-10-24,922700.0
2007-10-25,921700.0
2007-10-26,921700.0
2007-10-29,920825.0
2007-10-30,919925.0
2007-10-31,918250.0
2007-11-01,915525.0
2007-11-02,914925.0
2007-11-05,911600.0
2007-11-06,910300.0
2007-11-07,910375.0
2007-11-08,912350.0
2007-11-09,911900.0
2007-11-12,919175.0
2007-11-13,920225.0
2007-11-14,918050.0
2007-11-15,917900.0
2007-11-16,918025.0
2007-11-19,922000.0
2007-11-20,927100.0
2007-11-21,930100.0
2007-11-22,928750.0
2007-11-23,927225.0
2007-11-26,925275.0
2007-11-27,927150.0
2007-11-28,925900.0
2007-11-29,925150.0
2007-11-30,929250.0
2007-12-03,929650.0
2007-12-04,935950.0
2007-12-05,934725.0
2007-12-06,934050.0
2007-12-07,932375.0
2007-12-10,932375.0
2007-12-11,933075.0
2007-12-12,932225.0
2007-12-13,930250.0
2007-12-14,929625.0
2007-12-17,928550.0
2007-12-18,926050.0
2007-12-19,926475.0
2007-12-20,928525.0
2007-12-21,928525.0
2007-12-27,928950.0
2007-12-28,930025.0
2007-12-31,929450.0
2008-01-02,929500.0
2008-01-03,933750.0
2008-01-04,934350.0
2008-01-07,935150.0
2008-01-08,935525.0
2008-01-09,936475.0
2008-01-10,939325.0
2008-01-11,940050.0
2008-01-14,941225.0
2008-01-15,944075.0
2008-01-16,947625.0
2008-01-17,947450.0
2008-01-18,949475.0
2008-01-21,948600.0
2008-01-22,948000.0
2008-01-23,946550.0
2008-01-24,945075.0
2008-01-25,952150.0
2008-01-28,953175.0
2008-01-29,955350.0
2008-01-30,956625.0
2008-01-31,956475.0
2008-02-01,954850.0
2008-02-04,954450.0
2008-02-05,953575.0
2008-02-06,953450.0
2008-02-07,953900.0
2008-02-08,953300.0
2008-02-11,956150.0
2008-02-12,957900.0
2008-02-13,956075.0
2008-02-14,954200.0
2008-02-15,952425.0
2008-02-18,951725.0
2008-02-19,953000.0
2008-02-20,953000.0
2008-02-21,951250.0
2008-02-22,950900.0
2008-02-25,950200.0
2008-02-26,949675.0
2008-02-27,948575.0
2008-02-28,947225.0
2008-02-29,947425.0
2008-03-03,948325.0
2008-03-04,948225.0
2008-03-05,946325.0
2008-03-06,943175.0
2008-03-07,942600.0
2008-03-10,951225.0
2008-03-11,963550.0
2008-03-12,987325.0
2008-03-13,1006600.0
2008-03-14,1019550.0
2008-03-17,1024550.0
2008-03-18,1032825.0
2008-03-19,1033875.0
2008-03-20,1035350.0
2008-03-25,1035350.0
2008-03-26,1033425.0
2008-03-27,1031550.0
2008-03-28,1032100.0
2008-03-31,1032050.0
2008-04-01,1030975.0
2008-04-02,1030725.0
2008-04-03,1029875.0
2008-04-04,1029525.0
2008-04-07,1028100.0
2008-04-08,1026400.0
2008-04-09,1024675.0
2008-04-10,1023175.0
2008-04-11,1020650.0
2008-04-14,1029275.0
2008-04-15,1031150.0
2008-04-16,1029300.0
2008-04-17,1027700.0
2008-04-18,1028000.0
2008-04-21,1026975.0
2008-04-22,1026975.0
2008-04-23,1026950.0
2008-04-24,1043775.0
2008-04-25,1042825.0
2008-04-28,1042075.0
2008-04-29,1040675.0
2008-04-30,1038950.0
2008-05-01,1037500.0
2008-05-02,1036325.0
2008-05-06,1039275.0
2008-05-07,1038350.0
2008-05-08,1037100.0
2008-05-09,1035625.0
2008-05-12,1033800.0
2008-05-13,1032375.0
2008-05-14,1030450.0
2008-05-15,1029125.0
2008-05-16,1039550.0
2008-05-19,1061725.0
2008-05-20,1065625.0
2008-05-21,1075600.0
2008-05-22,1073000.0
2008-05-23,1071075.0
2008-05-27,1072300.0
2008-05-28,1077175.0
2008-05-29,1076075.0
2008-05-30,1076075.0
2008-06-02,1074900.0
2008-06-03,1073375.0
2008-06-04,1072400.0
2008-06-05,1070925.0
