date,value
2019-06-25,424.6323
2019-06-26,430.8677
2019-06-27,430.5479
2019-06-28,425.3581
2019-07-01,425.4439
2019-07-02,414.5045
2019-07-03,421.0002
2019-07-05,422.341
2019-03-29,434.1253
2019-04-01,439.6993
2019-04-02,442.6892
2019-04-03,443.5055
2019-04-04,443.9269
2019-04-05,447.2702
2019-04-08,451.4433
2019-04-09,449.6799
2019-04-10,453.8408
2006-10-30,428.42743
2006-08-29,464.8492
2006-08-30,464.26548
2006-08-31,465.86805
2006-09-01,459.0111
2006-09-05,457.14193
2006-09-06,453.25797
2006-09-07,450.22727
2006-09-08,446.41144
2006-09-11,441.62244
2006-09-12,437.23967
2006-09-13,438.38855
2006-09-14,433.72522
2006-09-15,431.58291
2006-09-18,434.97293
2006-09-19,426.5124
2006-09-20,418.32234
2006-09-21,423.56908
2006-09-22,418.01647
2006-09-25,418.93144
2006-09-26,419.19717
2006-09-27,426.0039
2006-09-28,426.62993
2006-09-29,428.05329
2006-10-02,420.17342
2006-10-03,409.67885
2006-10-04,413.81046
2006-10-05,420.18457
2006-10-06,422.77879
2006-10-09,430.2868
2006-10-10,426.4999
2006-10-11,426.84942
2006-10-12,429.89473
2006-10-13,434.76104
2006-10-16,444.43657
2006-10-17,440.20567
2006-10-18,434.07065
2006-10-19,439.83927
2006-10-20,435.27037
2006-10-23,432.3502
2006-10-24,435.88809
2006-10-25,447.00709
2006-10-26,441.28019
2006-10-27,441.8558
2006-10-31,429.22432
2006-11-01,429.56216
2006-11-02,428.23534
2006-11-03,434.04347
2006-11-06,437.10209
2006-11-07,436.3274
2006-11-08,442.28445
2006-11-09,452.51909
2006-11-10,444.16144
2006-11-13,441.78372
2006-11-14,441.11451
2006-11-15,445.28291
2006-11-16,434.56426
2006-11-17,436.95702
2006-11-20,437.06527
2006-11-21,444.99947
2006-11-22,438.52702
2006-11-24,441.905
2006-11-27,446.79419
2006-11-28,450.12681
2006-11-29,458.62388
2006-11-30,463.65541
2006-12-01,462.41868
2006-12-04,453.12538
2006-12-05,453.19196
2006-12-06,449.24513
2006-12-07,449.49759
2006-12-08,448.1454
2006-12-11,445.44833
2006-12-12,444.49225
2006-12-13,446.84753
2006-12-14,452.50315
2006-12-15,453.04109
2006-12-18,445.0829
2006-12-19,447.94197
2006-12-20,447.62142
2006-12-21,443.08925
2006-12-22,442.29446
2006-12-26,433.88916
2006-12-27,431.05248
2006-12-28,432.35278
2006-12-29,433.64646
2007-01-02,432.13349
2007-01-03,417.22629
2007-01-04,405.25807
2007-01-05,406.35449
2007-01-08,406.82461
2007-01-09,406.05399
2007-01-10,403.36836
2007-01-11,395.41552
2007-01-12,402.40667
2007-01-16,394.75861
2007-01-17,397.9569
2007-01-18,392.65231
2007-01-19,402.58143
2007-01-22,402.50173
2007-01-23,414.73648
2007-01-24,414.45828
2007-01-25,408.76101
2007-01-26,414.31078
2007-01-29,405.19727
2007-01-30,420.66537
2007-01-31,427.21784
2007-02-01,422.52946
2007-02-02,427.71035
2007-02-05,427.62144
2007-02-06,427.75161
