date,value
1996-12-31,6470.0
1996-12-30,6365.0
1996-12-27,6476.0
1996-12-24,6480.0
1996-12-23,6515.0
1996-12-20,6630.0
1996-12-19,6780.0
1996-12-18,6640.0
1996-12-17,6575.0
1996-12-16,6510.0
1996-12-13,6635.0
1996-12-12,6705.0
1996-12-11,6710.0
1996-12-10,6800.0
1996-12-09,6820.0
1996-12-06,6860.0
1996-12-05,6875.0
1996-12-04,6945.0
1996-12-03,6835.0
1996-12-02,6840.0
1996-11-29,6820.0
1996-11-28,6920.0
1996-11-27,7020.0
1996-11-26,7060.0
1996-11-25,6940.0
1996-11-22,6910.0
1996-11-21,6870.0
1996-11-20,6855.0
1996-11-19,6865.0
1996-11-18,6620.0
1996-11-15,7050.0
1996-11-14,7160.0
1996-11-13,7165.0
1996-11-12,7230.0
1996-11-11,7200.0
1996-11-08,7260.0
1996-11-07,7230.0
1996-11-06,7140.0
1996-11-05,7150.0
1996-11-04,7160.0
1996-11-01,7185.0
1996-10-31,7330.0
1996-10-30,7340.0
1996-10-29,7340.0
1996-10-28,7409.0
1996-10-25,7270.0
1996-10-24,7230.0
1996-10-23,7175.0
1996-10-22,7165.0
1996-10-21,7070.0
1996-10-18,7050.0
1996-10-17,7080.0
1996-10-16,7065.0
1996-10-15,7120.0
1996-10-14,7120.0
1996-10-11,7150.0
1996-10-10,7220.0
1996-10-09,7130.0
1996-10-08,7250.0
1996-10-07,7030.0
1996-10-04,7170.0
1996-10-03,7100.0
1996-10-02,7095.0
1996-10-01,7005.0
1996-09-30,7100.0
1996-09-27,7210.0
1996-09-26,7340.0
1996-09-25,7260.0
1996-09-24,7225.0
1996-09-23,7320.0
1996-09-20,7380.0
1996-09-19,7400.0
1996-09-18,7460.0
1996-09-17,7430.0
1996-09-16,7420.0
1996-09-13,7565.0
1996-09-12,7560.0
1996-09-11,7630.0
1996-09-10,7700.0
1996-09-09,7615.0
1996-09-06,7520.0
1996-09-05,7500.0
1996-09-04,7550.0
1996-09-03,7550.0
1996-09-02,7415.0
1996-08-30,7490.0
1996-08-29,7425.0
1996-08-28,7360.0
1996-08-27,7340.0
1996-08-23,7425.0
1996-08-22,7360.0
1996-08-21,7250.0
1996-08-20,7185.0
1996-08-19,7115.0
1996-08-16,7150.0
1996-08-15,7070.0
1996-08-14,7110.0
1996-08-13,7130.0
1996-08-12,7165.0
1996-08-09,7275.0
1996-08-08,7280.0
1996-08-07,7010.0
1996-08-06,6950.0
1996-08-05,6930.0
1996-08-02,6970.0
1996-08-01,7000.0
1996-07-31,6935.0
1996-07-30,7040.0
1996-07-29,7070.0
1996-07-26,7030.0
1996-07-25,7130.0
1996-07-24,7135.0
1996-07-23,7215.0
1996-07-22,7080.0
1996-07-19,7165.0
1996-07-18,7210.0
1996-07-17,7205.0
1996-07-16,7210.0
1996-07-15,7075.0
1996-07-12,7370.0
1996-07-11,7330.0
1996-07-10,7470.0
1996-07-09,7570.0
1996-07-08,7620.0
1996-07-05,7665.0
1996-07-04,7680.0
1996-07-03,7690.0
1996-07-02,7670.0
1996-07-01,7670.0
1996-06-28,7720.0
1996-06-27,7720.0
1996-06-26,7610.0
1996-06-25,7590.0
1996-06-24,7675.0
1996-06-21,7740.0
1996-06-20,7780.0
1996-06-19,7810.0
1996-06-18,7870.0
1996-06-17,7780.0
1996-06-14,7830.0
1996-06-13,7940.0
1996-06-12,7935.0
1996-06-11,7890.0
1996-06-10,7925.0
1996-06-07,7895.0
1996-06-06,7855.0
1996-06-05,7940.0
1996-06-04,8000.0
1996-06-03,7970.0
1996-05-31,7995.0
1996-05-30,8120.0
1996-05-29,8140.0
1996-05-28,8000.0
1996-05-24,7860.0
1996-05-23,7895.0
1996-05-22,7860.0
1996-05-21,7960.0
1996-05-20,8055.0
1996-05-17,8080.0
1996-05-16,8180.0
1996-05-15,8110.0
1996-05-14,8180.0
1996-05-13,8375.0
1996-05-10,8380.0
1996-05-09,8470.0
1996-05-08,8600.0
1996-05-07,8450.0
1996-05-03,8240.0
1996-05-02,8100.0
1996-05-01,8180.0
1996-04-30,7910.0
1996-04-29,8070.0
1996-04-26,8140.0
1996-04-25,8140.0
1996-04-24,8085.0
1996-04-23,8130.0
1996-04-22,8130.0
1996-04-19,8170.0
1996-04-18,8070.0
1996-04-17,8290.0
1996-04-16,8175.0
1996-04-15,8270.0
1996-04-12,8340.0
1996-04-11,8365.0
1996-04-10,8150.0
1996-04-09,8055.0
1996-04-04,8115.0
1996-04-03,8085.0
1996-04-02,8100.0
1996-04-01,8190.0
1996-03-29,8300.0
1996-03-28,8340.0
1996-03-27,8410.0
1996-03-26,8430.0
1996-03-25,8370.0
1996-03-22,8290.0
1996-03-21,8475.0
1996-03-20,8345.0
1996-03-19,8280.0
1996-03-18,8125.0
1996-03-15,8090.0
1996-03-14,8040.0
1996-03-13,8140.0
1996-03-12,8110.0
1996-03-11,8060.0
1996-03-08,8170.0
1996-03-07,7895.0
1996-03-06,7770.0
1996-03-05,7780.0
1996-03-04,7900.0
1996-03-01,7960.0
1996-02-29,7820.0
1996-02-28,7835.0
1996-02-27,8090.0
1996-02-26,8180.0
1996-02-23,8390.0
1996-02-22,8430.0
1996-02-21,8380.0
1996-02-20,8390.0
1996-02-19,8390.0
1996-02-16,8330.0
1996-02-15,8400.0
1996-02-14,8245.0
1996-02-13,8220.0
1996-02-12,8280.0
1996-02-09,8330.0
1996-02-08,8430.0
1996-02-07,8445.0
1996-02-06,8400.0
1996-02-05,8500.0
1996-02-02,8610.0
1996-02-01,8780.0
1996-01-31,8560.0
1996-01-30,8330.0
1996-01-29,8075.0
