date,value
2019-03-29,3.315
2019-04-01,3.305
2019-04-02,3.3062
2019-04-03,3.2925
2019-04-04,3.2929
2019-04-05,3.2932
2019-04-08,3.2878
2019-04-09,3.2905
2019-04-10,3.29
2006-08-29,3.246
2006-08-30,3.235
2006-08-31,3.243
2006-09-01,3.243
2006-09-04,3.243
2006-09-05,3.243
2006-09-06,3.243
2006-09-07,3.245
2006-09-08,3.246
2006-09-11,3.249
2006-09-12,3.252
2006-09-13,3.253
2006-09-14,3.2475
2006-09-15,3.248
2006-09-18,3.245
2006-09-19,3.245
2006-09-20,3.245
2006-09-21,3.248
2006-09-22,3.247
2006-09-25,3.249
2006-09-26,3.249
2006-09-27,3.252
2006-09-28,3.253
2006-09-29,3.25
2006-10-02,3.246
2006-10-03,3.246
2006-10-04,3.249
2006-10-05,3.247
2006-10-06,3.247
2006-10-09,3.244
2006-10-10,3.245
2006-10-11,3.244
2006-10-12,3.245
2006-10-13,3.244
2006-10-16,3.2425
2006-10-17,3.243
2006-10-18,3.242
2006-10-19,3.236
2006-10-20,3.223
2006-10-23,3.221
2006-10-24,3.224
2006-10-25,3.228
2006-10-26,3.225
2006-10-27,3.214
2006-10-30,3.216
2006-10-31,3.216
2006-11-01,3.216
2006-11-02,3.2155
2006-11-03,3.218
2006-11-06,3.22
2006-11-07,3.214
2006-11-08,3.215
2006-11-09,3.217
2006-11-10,3.215
2006-11-13,3.2205
2006-11-14,3.227
2006-11-15,3.227
2006-11-16,3.226
2006-11-17,3.225
2006-11-20,3.227
2006-11-21,3.229
2006-11-22,3.2255
2006-11-23,3.223
2006-11-24,3.224
2006-11-27,3.225
2006-11-28,3.223
2006-11-29,3.223
2006-11-30,3.216
2006-12-01,3.212
2006-12-04,3.214
2006-12-05,3.212
2006-12-06,3.211
2006-12-07,3.209
2006-12-08,3.2075
2006-12-11,3.21
2006-12-12,3.212
2006-12-13,3.209
2006-12-14,3.207
2006-12-15,3.201
2006-12-18,3.204
2006-12-19,3.201
2006-12-20,3.199
2006-12-21,3.197
2006-12-22,3.196
2006-12-25,3.196
2006-12-26,3.198
2006-12-27,3.1965
2006-12-28,3.196
2006-12-29,3.1941
2007-01-01,3.1941
2007-01-02,3.191
2007-01-03,3.191
2007-01-04,3.191
2007-01-05,3.192
2007-01-08,3.191
2007-01-09,3.192
2007-01-10,3.192
2007-01-11,3.189
2007-01-12,3.19
2007-01-15,3.19
2007-01-16,3.188
2007-01-17,3.187
2007-01-18,3.185
2007-01-19,3.187
2007-01-22,3.189
2007-01-23,3.19
2007-01-24,3.192
2007-01-25,3.196
2007-01-26,3.197
2007-01-29,3.202
2007-01-30,3.195
2007-01-31,3.196
2007-02-01,3.195
2007-02-02,3.195
2007-02-05,3.194
2007-02-06,3.191
2007-02-07,3.19
2007-02-08,3.188
2007-02-09,3.1908
2007-02-12,3.191
2007-02-13,3.19
2007-02-14,3.189
2007-02-15,3.186
2007-02-16,3.185
2007-02-19,3.188
2007-02-20,3.189
2007-02-21,3.187
2007-02-22,3.189
2007-02-23,3.186
2007-02-26,3.1865
2007-02-27,3.188
2007-02-28,3.19
2007-03-01,3.186
2007-03-02,3.187
2007-03-05,3.19
2007-03-06,3.187
2007-03-07,3.186
