date,value
1996-12-31,5850.0
1996-12-30,5760.0
1996-12-27,5730.0
1996-12-24,5770.0
1996-12-23,5790.0
1996-12-20,5770.0
1996-12-19,5850.0
1996-12-18,5820.0
1996-12-17,5830.0
1996-12-16,5685.0
1996-12-13,5775.0
1996-12-12,5830.0
1996-12-11,5790.0
1996-12-10,5770.0
1996-12-09,5850.0
1996-12-06,6025.0
1996-12-05,6090.0
1996-12-04,6115.0
1996-12-03,6075.0
1996-12-02,6085.0
1996-11-29,6110.0
1996-11-28,6080.0
1996-11-27,6095.0
1996-11-26,6160.0
1996-11-25,6120.0
1996-11-22,6110.0
1996-11-21,6160.0
1996-11-20,6090.0
1996-11-19,6040.0
1996-11-18,6030.0
1996-11-15,6060.0
1996-11-14,5980.0
1996-11-13,5990.0
1996-11-12,5980.0
1996-11-11,5920.0
1996-11-08,5925.0
1996-11-07,5970.0
1996-11-06,5925.0
1996-11-05,5905.0
1996-11-04,5900.0
1996-11-01,5975.0
1996-10-31,5985.0
1996-10-30,5985.0
1996-10-29,5930.0
1996-10-28,6000.0
1996-10-25,5990.0
1996-10-24,5980.0
1996-10-23,5980.0
1996-10-22,5985.0
1996-10-21,5980.0
1996-10-18,5975.0
1996-10-17,5955.0
1996-10-16,5960.0
1996-10-15,6000.0
1996-10-14,5975.0
1996-10-11,6060.0
1996-10-10,6075.0
1996-10-09,6055.0
1996-10-08,6060.0
1996-10-07,6025.0
1996-10-04,6095.0
1996-10-03,6020.0
1996-10-02,6045.0
1996-10-01,5980.0
1996-09-30,6020.0
1996-09-27,6075.0
1996-09-26,6095.0
1996-09-25,6075.0
1996-09-24,6050.0
1996-09-23,6025.0
1996-09-20,6105.0
1996-09-19,6120.0
1996-09-18,6140.0
1996-09-17,6070.0
1996-09-16,6115.0
1996-09-13,6160.0
1996-09-12,6140.0
1996-09-11,6205.0
1996-09-10,6240.0
1996-09-09,6240.0
1996-09-06,6245.0
1996-09-05,6220.0
1996-09-04,6255.0
1996-09-03,6250.0
1996-09-02,6255.0
1996-08-30,6255.0
1996-08-29,6220.0
1996-08-28,6175.0
1996-08-27,6175.0
1996-08-23,6170.0
1996-08-22,6165.0
1996-08-21,6150.0
1996-08-20,6160.0
1996-08-19,6155.0
1996-08-16,6160.0
1996-08-15,6150.0
1996-08-14,6170.0
1996-08-13,6160.0
1996-08-12,6160.0
1996-08-09,6165.0
1996-08-08,6190.0
1996-08-07,6180.0
1996-08-06,6160.0
1996-08-05,6115.0
1996-08-02,6135.0
1996-08-01,6220.0
1996-07-31,6180.0
1996-07-30,6105.0
1996-07-29,6080.0
1996-07-26,6245.0
1996-07-25,6280.0
1996-07-24,6265.0
1996-07-23,6251.0
1996-07-22,6240.0
1996-07-19,6255.0
1996-07-18,6255.0
1996-07-17,6245.0
1996-07-16,6240.0
1996-07-15,6235.0
1996-07-12,6325.0
1996-07-11,6300.0
1996-07-10,6360.0
1996-07-09,6365.0
1996-07-08,6395.0
1996-07-05,6415.0
1996-07-04,6430.0
1996-07-03,6420.0
1996-07-02,6380.0
1996-07-01,6310.0
1996-06-28,6350.0
1996-06-27,6285.0
1996-06-26,6235.0
1996-06-25,6230.0
1996-06-24,6240.0
1996-06-21,6235.0
1996-06-20,6185.0
1996-06-19,6190.0
1996-06-18,6175.0
1996-06-17,6185.0
1996-06-14,6185.0
1996-06-13,6240.0
1996-06-12,6220.0
