date,value
2019-04-24,14135.0
2019-04-25,14210.0
2019-04-26,14180.0
2019-04-29,14170.0
2019-04-30,14175.0
2019-05-06,14030.0
2019-05-07,14025.0
2019-05-08,14040.0
2019-05-09,14040.0
2019-05-10,14130.0
2019-05-13,14225.0
2019-05-14,14225.0
2019-05-15,14330.0
2019-05-16,14330.0
2019-05-17,14335.0
2019-05-20,14275.0
2019-05-21,14250.0
2019-05-22,14185.0
2019-05-23,14130.0
2019-05-24,14200.0
2019-05-27,14295.0
2019-05-29,14220.0
2019-05-30,14160.0
2019-05-31,14160.0
2019-05-28,14270.0
2019-06-03,14150.0
2019-06-04,14105.0
2019-06-05,14090.0
2019-06-06,14030.0
2019-06-10,13985.0
2019-06-11,14035.0
2019-06-12,14040.0
2019-06-13,14030.0
2019-06-14,14000.0
2019-06-17,13905.0
2019-06-18,13845.0
2019-06-19,13890.0
2019-06-20,13910.0
2019-06-21,13860.0
2019-06-24,13825.0
2019-06-25,13895.0
2019-06-26,13920.0
2019-06-27,13920.0
2019-06-28,13840.0
2019-07-01,13780.0
2019-07-02,13670.0
2019-07-03,13635.0
2019-07-04,13725.0
2019-07-05,13785.0
2019-07-08,13750.0
2019-04-01,13780.0
2019-04-02,13740.0
2019-04-03,13750.0
2019-04-04,13775.0
2019-04-08,13790.0
2019-04-09,13755.0
2019-04-10,13810.0
2019-04-11,13800.0
2006-08-29,19560.0
2006-08-30,19570.0
2006-08-31,19580.0
2006-09-01,19860.0
2006-09-04,20180.0
2006-09-05,20560.0
2006-09-06,21300.0
2006-09-07,22240.0
2006-09-08,21580.0
2006-09-11,21050.0
2006-09-12,20290.0
2006-09-13,20450.0
2006-09-14,20600.0
2006-09-15,20360.0
2006-09-18,19950.0
2006-09-19,19990.0
2006-09-20,19920.0
2006-09-21,20060.0
2006-09-22,20720.0
2006-09-25,20750.0
2006-09-26,20560.0
2006-09-27,20510.0
2006-09-28,20670.0
2006-09-29,20980.0
2006-10-09,21560.0
2006-10-10,21380.0
2006-10-11,21320.0
2006-10-12,21350.0
2006-10-13,21220.0
2006-10-16,21320.0
2006-10-17,21200.0
2006-10-18,21130.0
2006-10-19,21150.0
2006-10-20,21230.0
2006-10-23,21320.0
2006-10-24,21280.0
2006-10-25,21150.0
2006-10-26,21450.0
2006-10-27,21300.0
2006-10-30,20600.0
2006-10-31,20210.0
2006-11-01,20160.0
2006-11-02,20260.0
2006-11-03,20460.0
2006-11-06,20880.0
2006-11-07,21260.0
2006-11-08,21340.0
2006-11-09,21000.0
2006-11-10,21450.0
2006-11-13,20880.0
2006-11-14,21070.0
2006-11-15,21100.0
2006-11-16,20570.0
2006-11-17,20290.0
2006-11-20,20210.0
2006-11-21,20320.0
2006-11-22,20490.0
2006-11-23,20460.0
2006-11-24,20660.0
2006-11-27,20880.0
2006-11-28,20770.0
2006-11-29,20720.0
2006-11-30,20770.0
2006-12-01,20850.0
2006-12-04,20950.0
2006-12-05,20880.0
2006-12-06,20890.0
2006-12-07,20830.0
2006-12-08,20950.0
2006-12-11,21080.0
2006-12-12,21130.0
2006-12-13,21290.0
2006-12-14,21280.0
2006-12-15,21300.0
2006-12-18,20890.0
2006-12-19,20930.0
2006-12-20,20970.0
2006-12-21,20930.0
2006-12-22,20780.0
2006-12-25,20880.0
2006-12-26,20980.0
2006-12-27,21080.0
2006-12-28,21250.0
2006-12-29,21320.0
2007-01-04,20840.0
2007-01-05,20890.0
2007-01-08,20580.0
2007-01-09,20820.0
2007-01-10,20990.0
2007-01-11,20920.0
2007-01-12,20830.0
2007-01-15,20580.0
2007-01-16,20080.0
2007-01-17,19860.0
2007-01-18,19780.0
2007-01-19,19760.0
2007-01-22,19940.0
2007-01-23,20030.0
2007-01-24,20130.0
2007-01-25,19990.0
2007-01-26,19900.0
2007-01-29,19890.0
2007-01-30,19640.0
2007-01-31,19730.0
2007-02-01,19900.0
2007-02-02,19980.0
2007-02-05,20010.0
2007-02-06,20080.0
2007-02-07,20100.0
2007-02-08,20100.0
2007-02-09,20120.0
2007-02-12,19970.0
2007-02-16,19890.0
2007-02-26,20190.0
2007-02-27,19860.0
2007-02-28,19730.0
2007-03-01,19730.0
2007-03-02,19610.0
2007-03-05,19540.0
2007-03-06,19420.0
2007-03-07,19500.0
2007-03-08,19640.0
2007-03-09,19530.0
2007-03-12,19510.0
2007-03-13,19430.0
2007-03-14,19290.0
2007-03-15,19230.0
2007-03-16,19530.0
2007-03-19,19490.0
2007-03-20,19520.0
2007-03-21,19450.0
2007-03-22,19450.0
2007-03-23,19420.0
2007-03-26,19430.0
2007-03-27,19340.0
2007-03-28,19300.0
2007-03-29,19300.0
2007-03-30,19310.0
2007-04-02,19240.0
2007-04-03,19170.0
2007-04-04,19330.0
2007-04-05,19330.0
2007-04-06,19370.0
2007-04-09,19490.0
2007-04-10,19620.0
2007-04-11,19490.0
2007-04-12,19500.0
2007-04-13,19460.0
2007-04-16,19560.0
2007-04-17,19660.0
2007-04-18,19870.0
2007-04-19,19790.0
2007-04-20,19920.0
2007-04-23,20000.0
2007-04-24,20100.0
2007-04-25,20040.0
2007-04-26,20130.0
2007-04-27,20110.0
2007-04-30,20330.0
2007-05-08,20750.0
2007-05-09,20750.0
2007-05-10,20830.0
2007-05-11,20900.0
2007-05-14,21130.0
2007-05-15,20740.0
2007-05-16,20530.0
2007-05-17,20420.0
2007-05-18,20280.0
2007-05-21,20460.0
2007-05-22,20370.0
2007-05-23,20300.0
2007-05-24,20320.0
2007-05-25,20200.0
2007-05-28,20390.0
2007-05-29,20330.0
2007-05-30,20220.0
2007-05-31,20250.0
2007-06-01,20340.0
2007-06-04,20330.0
2007-06-05,20380.0
2007-06-06,20380.0
2007-06-07,20410.0
2007-06-08,20500.0
2007-06-11,20510.0
2007-06-12,20570.0
2007-06-13,20560.0
2007-06-14,20530.0
2007-06-15,20330.0
