date,value
2019-03-29,43562.0
2019-04-01,42692.0
2019-04-02,42373.0
2019-04-03,42204.0
2019-04-04,41425.0
2019-04-05,40921.0
2019-04-08,40498.0
2019-04-09,40352.0
2019-04-10,40189.0
2006-08-29,12440.0
2006-08-30,12440.0
2006-08-31,12377.0
2006-09-01,11788.0
2006-09-04,11788.0
2006-09-05,11542.0
2006-09-06,11943.0
2006-09-07,12088.0
2006-09-08,11958.0
2006-09-11,13330.0
2006-09-12,14897.0
2006-09-13,15748.0
2006-09-14,14180.0
2006-09-15,14775.0
2006-09-18,15263.0
2006-09-19,17523.0
2006-09-20,18091.0
2006-09-21,19546.0
2006-09-22,20627.0
2006-09-25,20978.0
2006-09-26,21326.0
2006-09-27,20855.0
2006-09-28,20646.0
2006-09-29,20360.0
2006-10-02,20113.0
2006-10-03,20293.0
2006-10-04,20953.0
2006-10-05,21376.0
2006-10-06,21592.0
2006-10-09,21198.0
2006-10-10,21568.0
2006-10-11,22354.0
2006-10-12,22202.0
2006-10-13,23210.0
2006-10-16,22630.0
2006-10-17,22299.0
2006-10-18,22336.0
2006-10-19,22206.0
2006-10-20,22467.0
2006-10-23,22651.0
2006-10-24,22651.0
2006-10-25,23104.0
2006-10-26,23163.0
2006-10-27,23363.0
2006-10-30,23206.0
2006-10-31,23244.0
2006-11-01,23102.0
2006-11-02,23174.0
2006-11-03,23642.0
2006-11-06,24958.0
2006-11-07,25505.0
2006-11-08,25664.0
2006-11-09,24692.0
2006-11-10,24826.0
2006-11-13,25789.0
2006-11-14,26092.0
2006-11-15,25818.0
2006-11-16,25903.0
2006-11-17,27961.0
2006-11-20,27923.0
2006-11-21,28968.0
2006-11-22,28840.0
2006-11-23,28840.0
2006-11-24,28840.0
2006-11-27,29784.0
2006-11-28,30864.0
2006-11-29,30948.0
2006-11-30,31627.0
2006-12-01,31299.0
2006-12-04,31899.0
2006-12-05,32201.0
2006-12-06,32111.0
2006-12-07,32196.0
2006-12-08,32209.0
2006-12-11,32651.0
2006-12-12,32651.0
2006-12-13,34326.0
2006-12-14,31725.0
2006-12-15,31752.0
2006-12-18,32539.0
2006-12-19,32385.0
2006-12-20,31867.0
2006-12-21,32333.0
2006-12-22,32883.0
2006-12-25,32883.0
2006-12-26,33582.0
2006-12-27,34071.0
2006-12-28,34078.0
2006-12-29,34078.0
2007-01-01,34078.0
2007-01-02,34078.0
2007-01-03,33995.0
2007-01-04,33995.0
2007-01-05,35321.0
2007-01-08,35670.0
2007-01-09,36070.0
2007-01-10,36186.0
2007-01-11,36108.0
2007-01-12,36403.0
2007-01-15,36403.0
2007-01-16,36445.0
2007-01-17,36216.0
2007-01-18,36687.0
2007-01-19,36679.0
2007-01-22,36410.0
2007-01-23,36410.0
2007-01-24,36410.0
2007-01-25,36410.0
2007-01-26,36410.0
2007-01-29,36410.0
2007-01-30,36135.0
2007-01-31,35969.0
2007-02-01,36169.0
2007-02-02,36169.0
2007-02-05,36169.0
2007-02-06,36643.0
2007-02-07,36643.0
2007-02-08,36643.0
2007-02-09,36485.0
2007-02-12,36189.0
2007-02-13,35903.0
2007-02-14,35881.0
2007-02-15,35881.0
2007-02-16,36357.0
2007-02-19,36357.0
2007-02-20,36631.0
2007-02-21,36631.0
2007-02-22,36631.0
2007-02-23,36631.0
2007-02-26,36994.0
2007-02-27,36994.0
2007-02-28,36994.0
2007-03-01,36994.0
2007-03-02,36994.0
2007-03-05,36994.0
2007-03-06,36994.0
2007-03-07,36994.0
2007-03-08,36994.0
2007-03-09,36994.0
2007-03-12,36762.0
2007-03-13,36435.0
2007-03-14,36435.0
2007-03-15,35907.0
2007-03-16,35706.0
2007-03-19,35558.0
2007-03-20,35770.0
2007-03-21,36565.0
2007-03-22,36501.0
2007-03-23,36115.0
2007-03-26,36115.0
2007-03-27,36556.0
2007-03-28,36438.0
2007-03-29,36438.0
2007-03-30,36438.0
2007-04-02,36438.0
2007-04-03,36386.0
2007-04-04,36355.0
2007-04-05,36355.0
2007-04-06,36355.0
2007-04-09,36355.0
2007-04-10,36355.0
2007-04-11,36311.0
2007-04-12,35870.0
2007-04-13,35908.0
2007-04-16,35796.0
2007-04-17,35646.0
2007-04-18,35624.0
2007-04-19,35358.0
2007-04-20,35187.0
2007-04-23,35064.0
2007-04-24,34940.0
2007-04-25,34793.0
2007-04-26,33925.0
2007-04-27,33695.0
2007-04-30,33149.0
2007-05-01,33071.0
2007-05-02,33003.0
2007-05-03,32839.0
2007-05-04,32506.0
2007-05-07,32506.0
2007-05-08,32282.0
2007-05-09,31993.0
2007-05-10,31529.0
2007-05-11,31529.0
2007-05-14,31529.0
2007-05-15,31379.0
2007-05-16,31379.0
2007-05-17,31379.0
2007-05-18,31379.0
2007-05-21,30916.0
2007-05-22,30881.0
2007-05-23,30621.0
2007-05-24,30227.0
2007-05-25,29473.0
2007-05-28,29473.0
2007-05-29,29145.0
2007-05-30,28191.0
2007-05-31,27500.0
2007-06-01,27188.0
2007-06-04,26983.0
2007-06-05,26680.0
2007-06-06,26591.0
2007-06-07,26456.0
2007-06-08,26113.0
2007-06-11,26113.0
2007-06-12,25843.0
2007-06-13,25170.0
2007-06-14,24830.0
2007-06-15,24342.0
2007-06-18,24165.0
2007-06-19,23808.0
2007-06-20,23302.0
2007-06-21,23057.0
2007-06-22,22746.0
2007-06-25,22569.0
2007-06-26,22487.0
2007-06-27,22347.0
2007-06-28,22123.0
2007-06-29,22123.0
2007-07-02,22123.0
2007-07-03,22123.0
2007-07-04,22123.0
2007-07-05,22123.0
2007-07-06,22123.0
2007-07-09,22076.0
2007-07-10,21989.0
2007-07-11,21877.0
2007-07-12,21808.0
2007-07-13,21628.0
2007-07-16,21494.0
2007-07-17,21360.0
2007-07-18,21065.0
2007-07-19,20952.0
2007-07-20,20679.0
2007-07-23,20814.0
2007-07-24,22820.0
2007-07-25,22728.0
2007-07-26,22594.0
2007-07-27,22288.0
2007-07-30,22021.0
2007-07-31,21879.0
2007-08-01,21767.0
2007-08-02,21655.0
2007-08-03,21655.0
2007-08-06,21655.0
2007-08-07,21655.0
2007-08-08,21655.0
2007-08-09,21655.0
2007-08-10,21655.0
2007-08-13,21655.0
2007-08-14,21341.0
2007-08-15,21244.0
2007-08-16,21244.0
2007-08-17,21244.0
2007-08-20,20897.0
2007-08-21,20760.0
2007-08-22,20912.0
2007-08-23,20908.0
2007-08-24,20705.0
2007-08-27,20705.0
2007-08-28,20705.0
2007-08-29,20705.0
2007-08-30,20705.0
2007-08-31,20705.0
2007-09-03,20705.0
2007-09-04,20705.0
2007-09-05,20692.0
2007-09-06,20692.0
2007-09-07,20692.0
2007-09-10,20692.0
2007-09-11,20518.0
2007-09-12,20518.0
2007-09-13,20518.0
2007-09-14,20458.0
2007-09-17,20317.0
2007-09-18,20275.0
2007-09-19,20193.0
2007-09-20,20115.0
2007-09-21,20115.0
2007-09-24,20115.0
2007-09-25,20115.0
2007-09-26,20115.0
2007-09-27,20115.0
2007-09-28,20115.0
2007-10-01,20115.0
2007-10-02,20115.0
2007-10-03,20115.0
2007-10-04,20115.0
2007-10-05,20115.0
2007-10-08,20115.0
2007-10-09,19941.0
2007-10-10,19557.0
2007-10-11,19557.0
2007-10-12,19557.0
2007-10-15,19557.0
2007-10-16,19557.0
2007-10-17,19557.0
2007-10-18,19557.0
2007-10-19,19557.0
2007-10-22,19557.0
2007-10-23,19557.0
2007-10-24,19557.0
2007-10-25,19557.0
2007-10-26,19557.0
2007-10-29,19557.0
2007-10-30,19570.0
2007-10-31,19570.0
2007-11-01,19225.0
2007-11-02,19095.0
2007-11-05,18965.0
2007-11-06,18948.0
2007-11-07,18948.0
2007-11-08,18948.0
2007-11-09,18948.0
2007-11-12,18948.0
2007-11-13,18948.0
2007-11-14,18948.0
2007-11-15,18675.0
2007-11-16,18585.0
2007-11-19,18337.0
2007-11-20,17981.0
2007-11-21,17981.0
2007-11-22,17981.0
2007-11-23,17981.0
2007-11-26,17981.0
2007-11-27,17981.0
2007-11-28,17981.0
2007-11-29,17981.0
2007-11-30,17981.0
2007-12-03,17981.0
2007-12-04,17968.0
2007-12-05,17743.0
2007-12-06,17383.0
2007-12-07,17383.0
2007-12-10,17023.0
2007-12-11,16889.0
2007-12-12,16551.0
2007-12-13,16372.0
2007-12-14,16194.0
2007-12-17,15924.0
2007-12-18,15634.0
2007-12-19,15296.0
2007-12-20,15184.0
2007-12-21,15115.0
2007-12-24,15115.0
2007-12-25,15115.0
2007-12-26,15383.0
2007-12-27,15604.0
2007-12-28,15494.0
2007-12-31,15230.0
2008-01-01,15230.0
2008-01-02,15317.0
2008-01-03,15091.0
2008-01-04,14931.0
2008-01-07,14926.0
2008-01-08,14611.0
2008-01-09,14611.0
2008-01-10,14391.0
2008-01-11,14231.0
2008-01-14,14177.0
2008-01-15,14078.0
2008-01-16,14078.0
2008-01-17,14078.0
2008-01-18,14056.0
2008-01-21,14056.0
2008-01-22,14056.0
2008-01-23,14056.0
2008-01-24,14036.0
2008-01-25,14036.0
2008-01-28,13978.0
2008-01-29,13978.0
2008-01-30,13978.0
2008-01-31,13978.0
2008-02-01,13978.0
2008-02-04,13978.0
2008-02-05,13978.0
2008-02-06,13978.0
2008-02-07,13978.0
2008-02-08,13978.0
2008-02-11,13978.0
2008-02-12,13978.0
2008-02-13,13978.0
2008-02-14,13978.0
2008-02-15,13978.0
2008-02-18,13978.0
2008-02-19,13978.0
2008-02-20,13978.0
2008-02-21,13978.0
2008-02-22,13978.0
2008-02-25,13889.0
2008-02-26,13551.0
2008-02-27,13304.0
2008-02-28,13101.0
2008-02-29,13080.0
2008-03-03,12998.0
2008-03-04,12998.0
2008-03-05,12910.0
2008-03-06,12752.0
2008-03-07,12640.0
2008-03-10,12519.0
2008-03-11,12519.0
2008-03-12,12519.0
2008-03-13,12474.0
2008-03-14,12474.0
2008-03-17,12474.0
2008-03-18,12474.0
2008-03-19,12407.0
2008-03-20,12340.0
2008-03-21,12340.0
2008-03-24,13978.0
2008-03-25,12340.0
2008-03-26,12230.0
2008-03-27,12230.0
2008-03-28,12060.0
2008-03-31,11931.0
2008-04-01,11931.0
2008-04-02,11931.0
2008-04-03,11931.0
2008-04-04,11931.0
2008-04-07,11931.0
2008-04-08,11931.0
2008-04-09,11931.0
2008-04-10,11931.0
2008-04-11,11931.0
2008-04-14,11931.0
2008-04-15,11931.0
2008-04-16,11931.0
2008-04-17,11931.0
2008-04-18,11931.0
2008-04-21,11498.0
2008-04-22,11457.0
2008-04-23,11457.0
2008-04-24,10827.0
2008-04-25,10827.0
2008-04-28,10827.0
2008-04-29,10827.0
2008-04-30,10827.0
2008-05-01,10827.0
2008-05-02,10827.0
2008-05-05,10827.0
2008-05-06,10827.0
2008-05-07,10827.0
2008-05-08,10827.0
2008-05-09,10827.0
2008-05-12,10827.0
2008-05-13,10827.0
2008-05-14,10827.0
2008-05-15,10760.0
2008-05-16,10658.0
2008-05-19,10416.0
2008-05-20,10597.0
2008-05-21,10621.0
2008-05-22,10819.0
2008-05-23,10819.0
2008-05-26,10819.0
2008-05-27,11027.0
2008-05-28,11027.0
2008-05-29,11027.0
2008-05-30,11027.0
2008-06-02,11051.0
2008-06-03,11051.0
2008-06-04,11051.0
2008-06-05,11051.0
2008-06-06,11051.0
2008-06-09,11051.0
2008-06-10,11051.0
2008-06-11,11040.0
2008-06-12,11040.0
2008-06-13,11040.0
2008-06-16,11040.0
2008-06-17,11040.0
2008-06-18,11040.0
2008-06-19,11040.0
2008-06-20,11040.0
2008-06-23,11040.0
2008-06-24,11040.0
2008-06-25,11040.0
2008-06-26,11040.0
2008-06-27,11040.0
2008-06-30,11040.0
2008-07-01,10926.0
2008-07-02,10299.0
2008-07-03,10254.0
2008-07-04,10254.0
2008-07-07,10079.0
2008-07-08,9811.0
2008-07-09,9678.0
2008-07-10,9037.0
2008-07-11,9037.0
2008-07-14,8421.0
2008-07-15,8129.0
2008-07-16,7969.0
2008-07-17,7857.0
2008-07-18,7700.0
2008-07-21,7498.0
2008-07-22,7323.0
2008-07-23,7167.0
2008-07-24,7123.0
2008-07-25,7123.0
2008-07-28,7123.0
2008-07-29,6838.0
2008-07-30,6838.0
2008-07-31,6323.0
2008-08-01,6300.0
2008-08-04,6300.0
2008-08-05,6100.0
