date,value
2019-05-28,5941.0
2019-05-29,5854.0
2019-05-30,5822.0
2019-05-31,5806.0
2019-06-03,5816.0
2019-06-04,5854.25
2019-06-05,5783.0
2019-06-06,5790.25
2019-06-07,5777.75
2019-06-10,5860.25
2019-06-11,5857.5
2019-06-12,5823.0
2019-06-13,5830.5
2019-06-14,5797.75
2019-06-17,5818.0
2019-06-18,5925.0
2019-06-19,5897.0
2019-06-20,5960.5
2019-06-21,5957.5
2019-06-24,5941.25
2019-06-25,6025.5
2019-06-26,5971.0
2019-06-27,5976.5
2019-06-28,5982.0
2019-07-01,5937.75
2019-07-02,5868.5
2019-07-03,5908.75
2019-07-04,5909.0
2019-07-05,5890.25
2019-03-29,6486.5
2019-04-01,6465.0
2019-04-02,6413.5
2019-04-03,6484.0
2019-04-04,6436.75
2019-04-05,6385.25
2019-04-08,6459.75
2019-04-09,6476.25
2019-04-10,6448.5
2006-08-29,7410.0
2006-08-30,7465.0
2006-08-31,7719.0
2006-09-01,7607.0
2006-09-04,7669.0
2006-09-05,7946.0
2006-09-06,8066.0
2006-09-07,8037.0
2006-09-08,7833.0
2006-09-11,7476.0
2006-09-12,7587.0
2006-09-13,7484.5
2006-09-14,7439.0
2006-09-15,7281.0
2006-09-18,7459.0
2006-09-19,7516.0
2006-09-20,7474.0
2006-09-21,7602.0
2006-09-22,7601.0
2006-09-25,7560.0
2006-09-26,7708.0
2006-09-27,7662.0
2006-09-28,7500.0
2006-09-29,7568.0
2006-10-02,7523.0
2006-10-03,7347.0
2006-10-04,7059.0
2006-10-05,7331.0
2006-10-06,7494.0
2006-10-09,7489.0
2006-10-10,7473.0
2006-10-11,7570.0
2006-10-12,7527.0
2006-10-13,7508.0
2006-10-16,7814.0
2006-10-17,7668.0
2006-10-18,7673.5
2006-10-19,7680.0
2006-10-20,7584.0
2006-10-23,7561.0
2006-10-24,7503.0
2006-10-25,7467.0
2006-10-26,7452.0
2006-10-27,7478.0
2006-10-30,7369.0
2006-10-31,7372.5
2006-11-01,7138.0
2006-11-02,7236.5
2006-11-03,7325.5
2006-11-06,7352.5
2006-11-07,7403.5
2006-11-08,7100.0
2006-11-09,7306.0
2006-11-10,6899.5
2006-11-13,6914.0
2006-11-14,6814.0
2006-11-15,6880.0
2006-11-16,6780.0
2006-11-17,6765.0
2006-11-20,6812.0
2006-11-21,6962.0
2006-11-22,6875.0
2006-11-23,6953.0
2006-11-24,7122.0
2006-11-27,7055.0
2006-11-28,6937.0
2006-11-29,6970.0
2006-11-30,7044.0
2006-12-01,6968.0
2006-12-04,6966.0
2006-12-05,7140.0
2006-12-06,6949.0
2006-12-07,6855.0
2006-12-08,6851.5
2006-12-11,6897.0
2006-12-12,6822.0
2006-12-13,6687.0
2006-12-14,6753.5
2006-12-15,6625.5
2006-12-18,6656.0
2006-12-19,6615.0
2006-12-20,6498.0
2006-12-21,6305.0
2006-12-22,6310.0
2006-12-27,6366.0
2006-12-28,6366.0
2006-12-29,6308.0
2007-01-02,6080.0
2007-01-03,5823.0
2007-01-04,5697.0
2007-01-05,5593.0
2007-01-08,5592.0
2007-01-09,5606.0
2007-01-10,5863.5
2007-01-11,5891.0
2007-01-12,5739.5
2007-01-15,5613.0
2007-01-16,5684.0
2007-01-17,5611.0
2007-01-18,5502.0
2007-01-19,5565.0
2007-01-22,5573.0
2007-01-23,5617.0
2007-01-24,5679.5
2007-01-25,5828.0
2007-01-26,5774.0
2007-01-29,5540.5
2007-01-30,5597.5
2007-01-31,5696.0
2007-02-01,5561.0
2007-02-02,5306.0
2007-02-05,5301.5
2007-02-06,5433.5
2007-02-07,5391.0
2007-02-08,5374.0
2007-02-09,5540.0
2007-02-12,5431.5
2007-02-13,5718.0
2007-02-14,5698.0
2007-02-15,5828.0
2007-02-16,5784.0
2007-02-19,5775.0
2007-02-20,5678.0
2007-02-21,5745.0
2007-02-22,6100.0
2007-02-23,6276.0
2007-02-26,6252.5
2007-02-27,6194.0
2007-02-28,5976.0
2007-03-01,6088.0
2007-03-02,6003.0
2007-03-05,5870.5
2007-03-06,5961.0
2007-03-07,6127.0
2007-03-08,6270.5
2007-03-09,6120.0
2007-03-12,6271.0
2007-03-13,6240.0
2007-03-14,6275.0
2007-03-15,6606.0
2007-03-16,6670.0
2007-03-19,6701.0
2007-03-20,6726.0
2007-03-21,6680.0
2007-03-22,6796.0
2007-03-23,6787.0
2007-03-26,6913.5
2007-03-27,6730.0
2007-03-28,6690.0
2007-03-29,6795.0
2007-03-30,6916.0
2007-04-02,7040.0
2007-04-03,7314.0
2007-04-04,7484.0
2007-04-05,7392.0
2007-04-10,7763.0
2007-04-11,7881.0
2007-04-12,7731.0
2007-04-13,7753.0
2007-04-16,7794.5
2007-04-17,8114.0
2007-04-18,8042.0
2007-04-19,7866.0
2007-04-20,8005.0
2007-04-23,8061.0
2007-04-24,7866.0
2007-04-25,7891.0
2007-04-26,7694.0
2007-04-27,7801.0
2007-04-30,7821.0
2007-05-01,8062.0
2007-05-02,8017.0
2007-05-03,8239.0
2007-05-04,8375.0
2007-05-08,8213.0
2007-05-09,8106.0
2007-05-10,7947.0
2007-05-11,7955.0
2007-05-14,7705.0
2007-05-15,7819.0
2007-05-16,7665.0
2007-05-17,7308.0
2007-05-18,7336.0
2007-05-21,7477.0
2007-05-22,7329.0
2007-05-23,7262.0
2007-05-24,7057.0
2007-05-25,7270.0
2007-05-29,7345.0
2007-05-30,7285.0
2007-05-31,7465.0
2007-06-01,7540.0
2007-06-04,7725.0
2007-06-05,7631.5
2007-06-06,7500.0
2007-06-07,7506.0
2007-06-08,7220.0
2007-06-11,7445.5
2007-06-12,7257.0
2007-06-13,7379.0
2007-06-14,7540.0
2007-06-15,7582.0
2007-06-18,7618.0
2007-06-19,7489.0
2007-06-20,7586.0
2007-06-21,7500.0
2007-06-22,7498.0
2007-06-25,7545.0
2007-06-26,7442.0
2007-06-27,7469.0
2007-06-28,7648.0
2007-06-29,7678.0
2007-07-02,7840.0
2007-07-03,7829.0
2007-07-04,7954.0
2007-07-05,7976.0
2007-07-06,7966.0
2007-07-09,8098.0
2007-07-10,8012.5
2007-07-11,8053.0
2007-07-12,7937.0
2007-07-13,7983.5
2007-07-16,7911.0
2007-07-17,7882.0
2007-07-18,7936.0
2007-07-19,8068.0
2007-07-20,8206.0
2007-07-23,8125.0
2007-07-24,8063.5
2007-07-25,7879.0
2007-07-26,7873.0
2007-07-27,7866.0
2007-07-30,7960.0
2007-07-31,8162.0
2007-08-01,7990.0
2007-08-02,8001.0
2007-08-03,7804.0
2007-08-06,7821.0
2007-08-07,7872.5
2007-08-08,7705.0
2007-08-09,7603.5
2007-08-10,7592.0
2007-08-13,7711.0
2007-08-14,7564.0
2007-08-15,7443.0
2007-08-16,6850.0
2007-08-17,7108.0
2007-08-20,7107.0
2007-08-21,7052.0
2007-08-22,7233.5
2007-08-23,7343.0
2007-08-24,7403.0
2007-08-28,7354.0
2007-08-29,7440.0
2007-08-30,7471.0
2007-08-31,7536.0
2007-09-03,7457.0
2007-09-04,7369.0
2007-09-05,7223.0
2007-09-06,7367.0
2007-09-07,7239.0
2007-09-10,7222.0
2007-09-11,7540.0
2007-09-12,7484.5
2007-09-13,7606.0
2007-09-14,7613.5
2007-09-17,7561.0
2007-09-18,7633.0
2007-09-19,7933.0
2007-09-20,7932.0
2007-09-21,7929.0
2007-09-24,8092.0
2007-09-25,8052.0
2007-09-26,8003.0
2007-09-27,8084.0
2007-09-28,8087.0
2007-10-01,8187.0
2007-10-02,8239.0
2007-10-03,8375.0
2007-10-04,8259.0
2007-10-05,8269.0
2007-10-08,8010.0
2007-10-09,8112.0
2007-10-10,8236.5
2007-10-11,8133.5
2007-10-12,8112.5
2007-10-15,8204.5
2007-10-16,8099.0
2007-10-17,8010.5
2007-10-18,7901.5
2007-10-19,7912.5
2007-10-22,7798.0
2007-10-23,7833.0
2007-10-24,7724.0
2007-10-25,7797.5
2007-10-26,7905.5
2007-10-30,7762.0
2007-10-31,7730.0
2007-11-01,7506.0
2007-11-02,7438.0
2007-11-05,7406.5
2007-11-06,7480.0
2007-11-07,7305.0
2007-11-08,7185.5
2007-11-09,7000.5
2007-11-12,6912.5
2007-11-13,6887.0
2007-11-14,7102.5
2007-11-15,6897.0
2007-11-16,7002.0
2007-11-19,6756.0
2007-11-20,6755.5
2007-11-21,6473.0
2007-11-22,6527.0
2007-11-23,6677.5
2007-11-26,6721.0
2007-11-27,6565.5
2007-11-28,6669.5
2007-11-29,6835.5
2007-11-30,6960.5
2007-12-03,6753.0
2007-12-04,6644.0
2007-12-05,6637.5
2007-12-06,6671.0
2007-12-07,6858.0
2007-12-10,6765.5
2007-12-11,6760.0
2007-12-12,6667.0
2007-12-13,6456.5
2007-12-14,6491.0
2007-12-17,6326.5
2007-12-18,6323.75
2007-12-19,6462.0
2007-12-20,6491.5
2007-12-27,6838.5
2007-12-28,6800.0
2008-01-02,6717.5
2008-01-03,6932.0
2008-01-04,6873.5
2008-01-07,6869.5
2008-01-08,7197.5
2008-01-09,7203.5
2008-01-10,7172.5
2008-01-11,7281.0
2008-01-14,7382.0
2008-01-15,7145.5
2008-01-16,6989.0
2008-01-17,7000.0
2008-01-18,7171.0
2008-01-21,6901.0
2008-01-22,7060.0
2008-01-23,6914.0
2008-01-24,7051.0
2008-01-25,7036.0
2008-01-28,7049.5
2008-01-29,7295.0
2008-01-30,7150.0
2008-01-31,7345.0
2008-02-01,7240.5
2008-02-04,7257.0
2008-02-05,7131.0
2008-02-06,7336.0
2008-02-07,7559.0
2008-02-08,7736.0
2008-02-11,7795.0
2008-02-12,7921.0
2008-02-13,7809.0
2008-02-14,7699.5
2008-02-15,7751.5
2008-02-18,8014.0
2008-02-19,8273.0
2008-02-20,8221.0
2008-02-21,8487.0
2008-02-22,8374.5
2008-02-25,8238.0
2008-02-26,8335.0
2008-02-27,8504.0
2008-02-28,8580.0
2008-02-29,8502.0
2008-03-03,8670.0
2008-03-04,8497.0
2008-03-05,8775.0
2008-03-06,8648.0
2008-03-07,8640.0
2008-03-10,8403.0
2008-03-11,8362.0
2008-03-12,8504.0
2008-03-13,8484.0
2008-03-14,8484.0
2008-03-17,8180.0
2008-03-18,8345.0
2008-03-19,8103.0
2008-03-25,8213.0
2008-03-26,8305.0
2008-03-27,8636.0
2008-03-28,8521.0
2008-03-31,8510.0
2008-04-01,8474.0
2008-04-02,8683.0
2008-04-03,8686.5
2008-04-04,8809.0
2008-04-07,8874.0
2008-04-08,8677.0
2008-04-09,8877.0
2008-04-10,8771.0
2008-04-11,8793.0
2008-04-14,8702.0
2008-04-15,8550.0
2008-04-16,8836.0
2008-04-17,8706.0
2008-04-18,8664.0
2008-04-21,8610.5
2008-04-22,8802.0
2008-04-23,8670.0
2008-04-24,8640.0
2008-04-25,8698.5
2008-04-28,8793.0
2008-04-29,8698.0
2008-04-30,8697.5
2008-05-01,8368.0
2008-05-06,8675.0
2008-05-07,8586.0
2008-05-08,8435.5
2008-05-09,8217.0
2008-05-12,8376.5
2008-05-13,8330.0
2008-05-14,8228.0
2008-05-15,8418.0
2008-05-16,8566.0
2008-05-19,8433.0
2008-05-20,8434.0
2008-05-21,8350.0
2008-05-22,8232.0
2008-05-27,8327.0
2008-05-28,8222.0
2008-05-29,8001.0
2008-05-30,8062.0
2008-06-02,8060.0
2008-06-03,8034.0
2008-06-04,8023.0
2008-06-05,7950.0
2008-06-06,8129.0
2008-06-09,8101.0
2008-06-10,7997.0
2008-06-11,8064.0
2008-06-12,7989.0
