date,value
2019-05-29,46930.0
2019-05-30,46590.0
2019-05-31,46370.0
2019-05-28,47190.0
2019-06-03,46130.0
2019-06-04,46240.0
2019-06-05,46480.0
2019-06-06,45980.0
2019-06-10,46190.0
2019-06-11,46640.0
2019-06-12,46530.0
2019-06-13,46270.0
2019-06-14,46370.0
2019-06-17,46040.0
2019-06-18,46270.0
2019-06-19,46790.0
2019-06-20,46810.0
2019-06-21,46830.0
2019-06-24,46780.0
2019-06-25,46890.0
2019-06-26,47240.0
2019-06-27,47050.0
2019-06-28,46970.0
2019-07-01,47250.0
2019-07-02,46630.0
2019-07-03,46300.0
2019-07-04,46400.0
2019-07-05,46320.0
2019-07-08,46320.0
2019-03-01,50030.0
2019-03-04,50060.0
2019-03-05,49960.0
2019-03-06,49920.0
2019-03-07,49870.0
2019-03-08,49710.0
2019-03-11,49650.0
2019-03-12,49820.0
2019-03-13,49920.0
2019-03-14,49920.0
2019-03-15,49660.0
2019-03-18,49090.0
2019-03-19,49100.0
2019-03-20,49110.0
2019-03-21,49200.0
2019-03-22,48900.0
2019-03-25,48260.0
2019-03-26,48140.0
2019-03-27,48270.0
2019-03-28,48240.0
2019-03-29,48540.0
2019-04-01,49200.0
2019-04-02,49120.0
2019-04-03,49150.0
2019-04-04,49390.0
2019-04-08,49180.0
2019-04-09,49350.0
2006-08-29,68160.0
2006-08-30,67650.0
2006-08-31,67630.0
2006-09-01,70140.0
2006-09-04,71240.0
2006-09-05,71660.0
2006-09-06,73990.0
2006-09-07,74860.0
2006-09-08,74330.0
2006-09-11,71760.0
2006-09-12,69430.0
2006-09-13,69540.0
2006-09-14,71350.0
2006-09-15,69400.0
2006-09-18,69830.0
2006-09-19,71470.0
2006-09-20,69610.0
2006-09-21,70170.0
2006-09-22,71170.0
2006-09-25,71130.0
2006-09-26,70890.0
2006-09-27,71020.0
2006-09-28,71170.0
2006-09-29,71030.0
2006-10-09,71280.0
2006-10-10,70680.0
2006-10-11,70740.0
2006-10-12,71100.0
2006-10-13,71090.0
2006-10-16,70540.0
2006-10-17,72340.0
2006-10-18,71560.0
2006-10-19,71610.0
2006-10-20,71650.0
2006-10-23,71220.0
2006-10-24,70960.0
2006-10-25,70660.0
2006-10-26,70850.0
2006-10-27,70460.0
2006-10-30,69840.0
2006-10-31,69600.0
2006-11-01,70050.0
2006-11-02,68930.0
2006-11-03,68420.0
2006-11-06,68800.0
2006-11-07,69020.0
2006-11-08,69200.0
2006-11-09,68250.0
2006-11-10,68530.0
2006-11-13,65780.0
2006-11-14,65530.0
2006-11-15,64110.0
2006-11-16,63410.0
2006-11-17,62750.0
2006-11-20,63420.0
2006-11-21,63190.0
2006-11-22,64240.0
2006-11-23,64580.0
2006-11-24,66190.0
2006-11-27,67540.0
2006-11-28,66770.0
2006-11-29,65880.0
2006-11-30,66010.0
2006-12-01,66380.0
2006-12-04,66250.0
2006-12-05,65620.0
2006-12-06,65950.0
2006-12-07,65030.0
2006-12-08,64840.0
2006-12-11,64880.0
2006-12-12,65450.0
2006-12-13,65180.0
2006-12-14,64920.0
2006-12-15,64990.0
2006-12-18,63700.0
2006-12-19,63910.0
2006-12-20,63680.0
2006-12-21,62490.0
2006-12-22,60130.0
2006-12-25,60640.0
2006-12-26,60650.0
2006-12-27,60730.0
2006-12-28,61110.0
2006-12-29,61090.0
2007-01-04,60530.0
2007-01-05,57500.0
2007-01-08,54260.0
2007-01-09,54260.0
2007-01-10,55980.0
2007-01-11,57720.0
2007-01-12,56680.0
2007-01-15,56940.0
2007-01-16,53340.0
2007-01-17,53910.0
2007-01-18,54150.0
2007-01-19,52540.0
2007-01-22,53620.0
2007-01-23,53620.0
2007-01-24,55120.0
2007-01-25,55580.0
2007-01-26,55530.0
2007-01-29,55670.0
2007-01-30,53900.0
2007-01-31,54470.0
2007-02-01,55040.0
2007-02-02,54240.0
2007-02-05,52360.0
2007-02-06,52570.0
2007-02-07,53540.0
2007-02-08,52950.0
2007-02-09,53370.0
2007-02-12,53830.0
2007-02-16,55950.0
2007-02-26,58180.0
2007-02-27,58760.0
2007-02-28,57740.0
2007-03-01,57690.0
2007-03-02,57340.0
2007-03-05,55630.0
2007-03-06,55890.0
2007-03-07,56590.0
2007-03-08,57850.0
2007-03-09,57540.0
2007-03-12,57680.0
2007-03-13,58360.0
2007-03-14,57680.0
2007-03-15,58350.0
2007-03-16,60720.0
2007-03-19,60710.0
2007-03-20,61220.0
2007-03-21,60590.0
2007-03-22,60840.0
2007-03-23,61530.0
2007-03-26,62130.0
2007-03-27,62770.0
2007-03-28,61360.0
2007-03-29,61090.0
2007-03-30,62090.0
2007-04-02,62950.0
2007-04-03,63510.0
2007-04-04,65100.0
2007-04-05,65510.0
2007-04-06,66400.0
2007-04-09,68500.0
2007-04-10,70900.0
2007-04-11,69550.0
2007-04-12,70790.0
2007-04-13,69680.0
2007-04-16,71440.0
2007-04-17,72050.0
2007-04-18,74660.0
2007-04-19,73160.0
2007-04-20,72030.0
2007-04-23,72150.0
2007-04-24,72250.0
2007-04-25,70330.0
2007-04-26,70650.0
2007-04-27,67980.0
2007-04-30,68980.0
2007-05-08,71730.0
2007-05-09,72050.0
2007-05-10,70540.0
2007-05-11,68640.0
2007-05-14,68030.0
2007-05-15,65340.0
2007-05-16,65810.0
2007-05-17,63500.0
2007-05-18,60660.0
2007-05-21,62600.0
2007-05-22,63720.0
2007-05-23,61990.0
2007-05-24,62710.0
2007-05-25,60950.0
2007-05-28,63380.0
2007-05-29,63640.0
2007-05-30,63340.0
2007-05-31,63890.0
2007-06-01,64810.0
2007-06-04,64440.0
2007-06-05,65900.0
2007-06-06,65890.0
2007-06-07,64590.0
2007-06-08,63490.0
2007-06-11,62130.0
2007-06-12,62710.0
2007-06-13,61670.0
2007-06-14,62120.0
2007-06-15,62440.0
2007-06-18,63970.0
2007-06-19,63420.0
2007-06-20,63870.0
2007-06-21,63940.0
2007-06-22,63400.0
2007-06-25,62980.0
2007-06-26,62280.0
2007-06-27,60450.0
2007-06-28,61610.0
2007-06-29,63150.0
2007-07-02,63160.0
2007-07-03,65260.0
2007-07-04,65200.0
2007-07-05,65400.0
2007-07-06,64930.0
2007-07-09,65480.0
2007-07-10,65570.0
2007-07-11,63820.0
2007-07-12,64070.0
2007-07-13,63540.0
2007-07-16,64040.0
2007-07-17,63740.0
2007-07-18,64070.0
2007-07-19,65100.0
2007-07-20,67300.0
2007-07-23,69270.0
2007-07-24,67470.0
2007-07-25,66460.0
2007-07-26,66290.0
2007-07-27,66880.0
2007-07-30,66820.0
2007-07-31,67820.0
2007-08-01,67490.0
2007-08-02,66870.0
2007-08-03,66910.0
2007-08-06,64960.0
2007-08-07,65630.0
2007-08-08,65440.0
2007-08-09,65180.0
2007-08-10,63690.0
2007-08-13,64660.0
2007-08-14,64160.0
2007-08-15,63480.0
2007-08-16,63920.0
2007-08-17,61540.0
2007-08-20,63050.0
2007-08-21,63360.0
2007-08-22,63350.0
2007-08-23,65000.0
2007-08-24,64910.0
2007-08-27,65450.0
2007-08-28,65030.0
2007-08-29,64330.0
2007-08-30,65000.0
2007-08-31,65240.0
2007-09-03,65040.0
2007-09-04,64920.0
2007-09-05,64780.0
2007-09-06,64240.0
2007-09-07,64870.0
2007-09-10,64390.0
2007-09-11,64700.0
2007-09-12,65650.0
2007-09-13,65470.0
2007-09-14,65650.0
2007-09-17,65690.0
2007-09-18,65930.0
2007-09-19,66720.0
2007-09-20,67180.0
2007-09-21,66900.0
2007-09-24,67220.0
2007-09-25,67710.0
2007-09-26,67450.0
2007-09-27,67100.0
2007-09-28,67610.0
2007-10-08,67280.0
2007-10-09,65920.0
2007-10-10,66120.0
2007-10-11,66300.0
2007-10-12,66060.0
2007-10-15,66590.0
2007-10-16,67130.0
2007-10-17,66790.0
2007-10-18,66280.0
2007-10-19,65890.0
2007-10-22,65180.0
2007-10-23,65230.0
2007-10-24,64820.0
2007-10-25,64880.0
2007-10-26,65050.0
2007-10-29,65850.0
2007-10-30,65030.0
2007-10-31,65130.0
2007-11-01,64360.0
2007-11-02,63330.0
2007-11-05,62930.0
2007-11-06,63130.0
2007-11-07,63510.0
2007-11-08,62160.0
2007-11-09,62150.0
2007-11-12,60680.0
2007-11-13,59730.0
2007-11-14,60350.0
2007-11-15,60480.0
2007-11-16,58770.0
2007-11-19,58390.0
2007-11-20,56090.0
2007-11-21,54860.0
2007-11-22,54760.0
2007-11-23,55870.0
2007-11-26,56180.0
2007-11-27,55900.0
2007-11-28,56670.0
2007-11-29,58380.0
2007-11-30,59540.0
2007-12-03,60310.0
2007-12-04,58270.0
