date,value
1996-12-31,700.0
1996-12-30,705.0
1996-12-27,713.0
1996-12-24,717.0
1996-12-23,707.0
1996-12-20,714.0
1996-12-19,713.0
1996-12-18,698.0
1996-12-17,701.0
1996-12-16,689.0
1996-12-13,692.0
1996-12-12,700.0
1996-12-11,678.0
1996-12-10,674.0
1996-12-09,667.0
1996-12-06,680.0
1996-12-05,690.0
1996-12-04,688.0
1996-12-03,686.0
1996-12-02,688.0
1996-11-29,686.0
1996-11-28,693.0
1996-11-27,694.0
1996-11-26,714.0
1996-11-25,709.0
1996-11-22,710.0
1996-11-21,713.0
1996-11-20,704.0
1996-11-19,703.0
1996-11-18,718.0
1996-11-15,725.0
1996-11-14,726.0
1996-11-13,738.0
1996-11-12,737.0
1996-11-11,732.0
1996-11-08,735.0
1996-11-07,749.0
1996-11-06,743.0
1996-11-05,744.0
1996-11-04,741.0
1996-11-01,751.0
1996-10-31,752.0
1996-10-30,748.0
1996-10-29,737.0
1996-10-28,746.0
1996-10-25,740.0
1996-10-24,737.0
1996-10-23,735.0
1996-10-22,732.0
1996-10-21,725.0
1996-10-18,722.0
1996-10-17,732.0
1996-10-16,741.0
1996-10-15,750.0
1996-10-14,738.0
1996-10-11,751.0
1996-10-10,767.0
1996-10-09,766.0
1996-10-08,772.0
1996-10-07,767.0
1996-10-04,771.0
1996-10-03,763.0
1996-10-02,760.0
1996-10-01,757.0
1996-09-30,756.0
1996-09-27,778.0
1996-09-26,782.0
1996-09-25,779.0
1996-09-24,780.0
1996-09-23,775.0
1996-09-20,782.0
1996-09-19,787.0
1996-09-18,788.0
1996-09-17,772.0
1996-09-16,786.0
1996-09-13,809.0
1996-09-12,815.0
1996-09-11,814.0
1996-09-10,817.0
1996-09-09,811.0
1996-09-06,810.0
1996-09-05,813.0
1996-09-04,816.0
1996-09-03,819.0
1996-09-02,815.0
1996-08-30,812.0
1996-08-29,804.0
1996-08-28,805.0
1996-08-27,795.0
1996-08-23,807.0
1996-08-22,818.0
1996-08-21,820.0
1996-08-20,824.0
1996-08-19,821.0
1996-08-16,817.0
1996-08-15,822.0
1996-08-14,827.0
1996-08-13,827.0
1996-08-12,830.0
1996-08-09,831.0
1996-08-08,824.0
1996-08-07,826.0
1996-08-06,809.0
1996-08-05,803.0
1996-08-02,804.0
1996-08-01,803.0
1996-07-31,810.0
1996-07-30,812.0
1996-07-29,812.0
1996-07-26,809.0
1996-07-25,795.0
1996-07-24,790.0
1996-07-23,787.0
1996-07-22,786.0
1996-07-19,790.0
1996-07-18,797.0
1996-07-17,783.0
1996-07-16,767.0
1996-07-15,766.0
