date,value
2019-03-29,6.7112
2019-04-01,6.7102
2019-04-02,6.7223
2019-04-03,6.7098
2019-04-04,6.7167
2019-04-05,6.7182
2019-04-08,6.7158
2019-04-09,6.7111
2019-04-10,6.7153
2006-08-29,7.9622
2006-08-30,7.9585
2006-08-31,7.9533
2006-09-01,7.953
2006-09-04,7.938
2006-09-05,7.9385
2006-09-06,7.9418
2006-09-07,7.9409
2006-09-08,7.9455
2006-09-11,7.9527
2006-09-12,7.946
2006-09-13,7.9478
2006-09-14,7.9458
2006-09-15,7.9443
2006-09-18,7.9458
2006-09-19,7.936
2006-09-20,7.9263
2006-09-21,7.923
2006-09-22,7.9165
2006-09-25,7.92
2006-09-26,7.9103
2006-09-27,7.9038
2006-09-28,7.893
2006-09-29,7.9055
2006-10-02,7.9055
2006-10-03,7.9055
2006-10-04,7.9055
2006-10-05,7.9055
2006-10-06,7.9055
2006-10-09,7.9
2006-10-10,7.9037
2006-10-11,7.9155
2006-10-12,7.9128
2006-10-13,7.9
2006-10-16,7.9083
2006-10-17,7.906
2006-10-18,7.9075
2006-10-19,7.9075
2006-10-20,7.9038
2006-10-23,7.8985
2006-10-24,7.9
2006-10-25,7.8982
2006-10-26,7.892
2006-10-27,7.8881
2006-10-30,7.8769
2006-10-31,7.8765
2006-11-01,7.8719
2006-11-02,7.8733
2006-11-03,7.871
2006-11-06,7.875
2006-11-07,7.874
2006-11-08,7.8658
2006-11-09,7.8645
2006-11-10,7.863
2006-11-13,7.861
2006-11-14,7.864
2006-11-15,7.866
2006-11-16,7.8713
2006-11-17,7.8718
2006-11-20,7.873
2006-11-21,7.8683
2006-11-22,7.864
2006-11-23,7.8625
2006-11-24,7.8549
2006-11-27,7.8415
2006-11-28,7.8425
2006-11-29,7.8355
2006-11-30,7.8323
2006-12-01,7.828
2006-12-04,7.826
2006-12-05,7.823
2006-12-06,7.8233
2006-12-07,7.8323
2006-12-08,7.824
2006-12-11,7.828
2006-12-12,7.83
2006-12-13,7.824
2006-12-14,7.8198
